fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Salesman-Nonretail,Farmer/Farm_Manager,intact,white,1.3,between 0.6 and 3.3
Salesman-Nonretail,Farm_Laborer,intact,white,4.0,between 0.6 and 3.3
Craftsman-Construction,Operative-Manufacturing,intact,black,10.5,between 3.3 and 14.6
Operative-Manufacturing,Farm_Laborer,nonintact,black,0.5,less than 0.6
Professional_Self-Employed,Operative-Manufacturing,intact,white,8.0,between 0.6 and 3.3
Craftsman-Manufacturing,Clerk,nonintact,white,9.6,between 3.3 and 14.6
Professional-Salaried,Professional-Salaried,intact,black,8.6,between 3.3 and 14.6
Salesman-Nonretail,Proprietor,nonintact,white,0.0,between 0.6 and 3.3
Service_Worker,Craftsman-Construction,intact,black,2.7,between 0.6 and 3.3
Craftsman-Construction,Farmer/Farm_Manager,nonintact,black,0.0,less than 0.6
Salesman-Retail,Craftsman-Manufacturing,nonintact,white,2.3,between 3.3 and 14.6
Clerk,Laborer-Nonmanufacturing,nonintact,black,2.2,between 0.6 and 3.3
Proprietor,Laborer-Nonmanufacturing,intact,black,0.4,between 0.6 and 3.3
Craftsman-Construction,Salesman-Retail,nonintact,white,2.3,between 0.6 and 3.3
Craftsman-Construction,Proprietor,nonintact,black,0.0,less than 0.6
Operative-Manufacturing,Craftsman-Manufacturing,nonintact,black,0.5,between 0.6 and 3.3
Laborer-Manufacturing,Craftsman-Construction,nonintact,white,0.8,between 3.3 and 14.6
Farm_Laborer,Professional-Salaried,intact,white,23.6,greater than 14.6
Clerk,Craftsmen-Other,nonintact,white,7.0,greater than 14.6
Laborer-Manufacturing,Farm_Laborer,intact,white,17.7,between 0.6 and 3.3
Operative-Manufacturing,Craftsman-Manufacturing,intact,black,3.4,between 3.3 and 14.6
Professional_Self-Employed,Manager,intact,white,18.1,greater than 14.6
Professional_Self-Employed,Salesman-Retail,intact,white,5.7,between 3.3 and 14.6
Proprietor,Craftsman-Construction,nonintact,black,0.5,less than 0.6
Farm_Laborer,Laborer-Nonmanufacturing,intact,white,40.8,greater than 14.6
Professional_Self-Employed,Craftsman-Manufacturing,intact,black,0.0,less than 0.6
Operative-Manufacturing,Operative-Nonmanufacturing,intact,white,124.0,greater than 14.6
Professional-Salaried,Service_Worker,intact,black,3.6,between 0.6 and 3.3
Professional_Self-Employed,Farm_Laborer,intact,black,0.5,less than 0.6
Laborer-Nonmanufacturing,Craftsman-Construction,nonintact,black,0.5,between 0.6 and 3.3
Manager,Salesman-Retail,nonintact,black,0.0,less than 0.6
Craftsmen-Other,Operative-Manufacturing,nonintact,black,1.5,between 0.6 and 3.3
Craftsmen-Other,Salesman-Retail,intact,black,1.0,between 0.6 and 3.3
Clerk,Craftsman-Manufacturing,nonintact,white,4.8,greater than 14.6
Craftsmen-Other,Service_Worker,nonintact,black,1.9,between 0.6 and 3.3
Service_Worker,Clerk,nonintact,white,40.7,greater than 14.6
Salesman-Retail,Laborer-Nonmanufacturing,nonintact,black,0.0,less than 0.6
Proprietor,Clerk,nonintact,white,10.4,between 3.3 and 14.6
Farmer/Farm_Manager,Professional-Salaried,intact,white,210.8,greater than 14.6
Professional_Self-Employed,Manager,nonintact,white,1.1,between 0.6 and 3.3
Professional-Salaried,Craftsmen-Other,intact,white,54.7,greater than 14.6
Farmer/Farm_Manager,Laborer-Nonmanufacturing,nonintact,white,28.0,between 3.3 and 14.6
Manager,Laborer-Manufacturing,intact,white,13.0,between 3.3 and 14.6
Salesman-Retail,Proprietor,intact,white,2.3,greater than 14.6
Salesman-Nonretail,Proprietor,intact,white,1.7,between 3.3 and 14.6
Craftsman-Construction,Professional_Self-Employed,nonintact,white,0.0,less than 0.6
Operative-Manufacturing,Craftsman-Construction,intact,white,25.5,greater than 14.6
Craftsman-Manufacturing,Professional-Salaried,intact,white,193.8,greater than 14.6
Professional_Self-Employed,Operative-Manufacturing,intact,black,0.4,between 0.6 and 3.3
Craftsman-Manufacturing,Laborer-Nonmanufacturing,nonintact,white,3.1,between 0.6 and 3.3
Clerk,Operative-Nonmanufacturing,nonintact,black,1.7,between 0.6 and 3.3
Proprietor,Proprietor,intact,white,29.1,greater than 14.6
Craftsman-Construction,Craftsman-Construction,nonintact,black,0.5,less than 0.6
Salesman-Retail,Craftsmen-Other,intact,black,0.5,less than 0.6
Craftsman-Manufacturing,Salesman-Nonretail,nonintact,white,0.8,between 0.6 and 3.3
Laborer-Manufacturing,Laborer-Nonmanufacturing,intact,black,11.3,between 3.3 and 14.6
Farm_Laborer,Service_Worker,nonintact,black,4.6,between 3.3 and 14.6
Service_Worker,Laborer-Manufacturing,nonintact,black,12.9,between 3.3 and 14.6
Clerk,Craftsman-Manufacturing,intact,black,1.3,between 0.6 and 3.3
Operative-Nonmanufacturing,Clerk,nonintact,white,19.5,between 3.3 and 14.6
Craftsman-Manufacturing,Professional-Salaried,nonintact,white,10.6,between 3.3 and 14.6
Clerk,Manager,nonintact,black,0.0,less than 0.6
Professional-Salaried,Service_Worker,nonintact,white,8.6,between 3.3 and 14.6
Craftsman-Construction,Service_Worker,intact,black,4.2,between 3.3 and 14.6
Service_Worker,Laborer-Nonmanufacturing,intact,black,10.4,between 0.6 and 3.3
Manager,Farm_Laborer,intact,black,0.0,less than 0.6
Salesman-Nonretail,Professional-Salaried,intact,black,1.3,between 0.6 and 3.3
Craftsmen-Other,Farm_Laborer,nonintact,black,0.0,less than 0.6
Craftsman-Construction,Operative-Nonmanufacturing,nonintact,black,1.9,between 0.6 and 3.3
Salesman-Nonretail,Craftsman-Construction,intact,white,6.1,between 3.3 and 14.6
Clerk,Manager,intact,black,0.6,between 0.6 and 3.3
Clerk,Craftsman-Manufacturing,intact,white,16.6,greater than 14.6
Operative-Manufacturing,Clerk,intact,black,9.6,between 3.3 and 14.6
Manager,Craftsmen-Other,nonintact,white,4.4,between 0.6 and 3.3
Farm_Laborer,Craftsman-Construction,intact,black,3.0,between 3.3 and 14.6
Farm_Laborer,Craftsmen-Other,intact,white,28.2,greater than 14.6
Service_Worker,Laborer-Manufacturing,intact,black,3.7,between 3.3 and 14.6
Craftsman-Construction,Professional_Self-Employed,intact,black,0.5,less than 0.6
Farm_Laborer,Craftsmen-Other,intact,black,2.8,between 3.3 and 14.6
Clerk,Clerk,intact,black,6.3,between 3.3 and 14.6
Service_Worker,Operative-Manufacturing,intact,white,81.5,greater than 14.6
Operative-Manufacturing,Salesman-Nonretail,nonintact,black,0.0,between 0.6 and 3.3
Proprietor,Farmer/Farm_Manager,intact,black,0.0,less than 0.6
Salesman-Retail,Craftsmen-Other,intact,white,16.7,greater than 14.6
Farm_Laborer,Salesman-Nonretail,intact,black,0.0,less than 0.6
Proprietor,Craftsmen-Other,intact,black,0.6,between 0.6 and 3.3
Professional_Self-Employed,Salesman-Retail,nonintact,black,0.0,less than 0.6
Farmer/Farm_Manager,Professional-Salaried,nonintact,white,16.9,greater than 14.6
Operative-Nonmanufacturing,Clerk,nonintact,black,3.2,between 0.6 and 3.3
Salesman-Retail,Operative-Manufacturing,nonintact,black,0.6,less than 0.6
Farmer/Farm_Manager,Salesman-Retail,intact,white,81.6,greater than 14.6
Proprietor,Professional-Salaried,nonintact,black,1.6,between 0.6 and 3.3
Professional-Salaried,Proprietor,intact,black,0.0,less than 0.6
Manager,Farm_Laborer,nonintact,white,1.6,between 0.6 and 3.3
Manager,Clerk,intact,black,2.4,between 0.6 and 3.3
Operative-Manufacturing,Craftsmen-Other,nonintact,white,14.4,greater than 14.6
Clerk,Craftsman-Construction,nonintact,black,0.0,less than 0.6
Craftsmen-Other,Professional-Salaried,intact,white,194.2,greater than 14.6
Proprietor,Salesman-Retail,intact,black,0.0,between 0.6 and 3.3
Operative-Manufacturing,Laborer-Nonmanufacturing,intact,black,12.3,between 3.3 and 14.6
Salesman-Retail,Farm_Laborer,nonintact,black,0.0,less than 0.6
Craftsman-Construction,Farmer/Farm_Manager,nonintact,white,0.0,between 0.6 and 3.3
Craftsmen-Other,Farm_Laborer,intact,black,2.1,less than 0.6
Laborer-Manufacturing,Operative-Manufacturing,nonintact,black,3.4,between 0.6 and 3.3
Professional-Salaried,Operative-Manufacturing,intact,white,62.3,greater than 14.6
Proprietor,Service_Worker,nonintact,white,4.9,between 3.3 and 14.6
Craftsman-Construction,Operative-Manufacturing,intact,white,131.8,greater than 14.6
Laborer-Nonmanufacturing,Service_Worker,intact,white,25.5,greater than 14.6
Professional-Salaried,Professional-Salaried,nonintact,white,33.9,greater than 14.6
Salesman-Nonretail,Salesman-Retail,nonintact,white,0.7,less than 0.6
Manager,Operative-Nonmanufacturing,nonintact,white,7.6,between 3.3 and 14.6
Craftsman-Construction,Operative-Nonmanufacturing,nonintact,white,12.8,between 3.3 and 14.6
Professional_Self-Employed,Craftsman-Manufacturing,nonintact,black,0.0,less than 0.6
Craftsmen-Other,Clerk,nonintact,white,8.8,between 3.3 and 14.6
Farm_Laborer,Operative-Nonmanufacturing,intact,black,16.0,greater than 14.6
Farmer/Farm_Manager,Manager,nonintact,black,0.0,between 0.6 and 3.3
Laborer-Nonmanufacturing,Laborer-Nonmanufacturing,nonintact,black,6.2,between 0.6 and 3.3
Farmer/Farm_Manager,Craftsman-Construction,nonintact,white,14.7,greater than 14.6
Operative-Nonmanufacturing,Manager,nonintact,white,6.0,greater than 14.6
Craftsman-Construction,Craftsman-Manufacturing,intact,black,1.1,between 0.6 and 3.3
Salesman-Nonretail,Clerk,intact,black,0.5,less than 0.6
Salesman-Nonretail,Laborer-Nonmanufacturing,intact,white,18.9,between 3.3 and 14.6
Craftsmen-Other,Laborer-Nonmanufacturing,nonintact,white,6.0,between 3.3 and 14.6
Operative-Manufacturing,Farmer/Farm_Manager,nonintact,black,0.0,less than 0.6
Farm_Laborer,Operative-Manufacturing,nonintact,black,6.7,between 3.3 and 14.6
Farm_Laborer,Operative-Manufacturing,intact,black,14.2,greater than 14.6
Laborer-Nonmanufacturing,Farm_Laborer,intact,white,30.6,between 3.3 and 14.6
Manager,Craftsman-Construction,nonintact,black,0.6,less than 0.6
Professional-Salaried,Salesman-Retail,nonintact,white,5.1,between 0.6 and 3.3
Craftsman-Construction,Craftsman-Construction,nonintact,white,8.1,greater than 14.6
Laborer-Manufacturing,Professional_Self-Employed,intact,white,2.3,between 3.3 and 14.6
Laborer-Manufacturing,Laborer-Nonmanufacturing,intact,white,23.9,between 3.3 and 14.6
Professional_Self-Employed,Operative-Manufacturing,nonintact,black,0.4,less than 0.6
Clerk,Operative-Nonmanufacturing,intact,black,2.9,between 0.6 and 3.3
Professional_Self-Employed,Farm_Laborer,nonintact,white,0.0,less than 0.6
Operative-Nonmanufacturing,Farm_Laborer,nonintact,black,0.8,less than 0.6
Salesman-Nonretail,Manager,intact,black,0.7,between 0.6 and 3.3
Craftsman-Manufacturing,Farmer/Farm_Manager,intact,black,0.0,less than 0.6
Laborer-Manufacturing,Craftsman-Construction,nonintact,black,0.0,less than 0.6
Laborer-Nonmanufacturing,Operative-Nonmanufacturing,intact,white,71.4,greater than 14.6
Craftsman-Manufacturing,Salesman-Nonretail,intact,black,0.8,less than 0.6
Craftsman-Manufacturing,Operative-Manufacturing,nonintact,black,1.0,less than 0.6
Proprietor,Salesman-Nonretail,intact,white,46.0,greater than 14.6
Clerk,Craftsman-Construction,intact,white,9.8,greater than 14.6
Operative-Nonmanufacturing,Laborer-Nonmanufacturing,nonintact,white,13.0,between 3.3 and 14.6
Professional-Salaried,Farm_Laborer,intact,white,11.1,between 0.6 and 3.3
Operative-Manufacturing,Craftsmen-Other,intact,black,3.9,between 3.3 and 14.6
Salesman-Nonretail,Craftsman-Manufacturing,intact,black,0.0,less than 0.6
Farmer/Farm_Manager,Proprietor,intact,white,8.9,greater than 14.6
Operative-Manufacturing,Professional_Self-Employed,intact,white,7.9,between 3.3 and 14.6
Laborer-Manufacturing,Farmer/Farm_Manager,nonintact,white,0.0,less than 0.6
Service_Worker,Operative-Nonmanufacturing,intact,black,10.8,between 3.3 and 14.6
Operative-Nonmanufacturing,Manager,intact,black,2.1,between 3.3 and 14.6
Proprietor,Craftsmen-Other,nonintact,white,6.5,between 3.3 and 14.6
Proprietor,Craftsman-Construction,intact,white,30.8,greater than 14.6
Proprietor,Farm_Laborer,intact,white,11.5,between 3.3 and 14.6
Craftsman-Construction,Laborer-Manufacturing,nonintact,black,0.5,less than 0.6
Proprietor,Laborer-Nonmanufacturing,intact,white,54.5,greater than 14.6
Laborer-Manufacturing,Craftsmen-Other,nonintact,black,0.0,less than 0.6
Farm_Laborer,Clerk,nonintact,white,5.7,between 0.6 and 3.3
Service_Worker,Salesman-Nonretail,nonintact,black,1.4,less than 0.6
Clerk,Farm_Laborer,intact,black,0.9,between 0.6 and 3.3
Laborer-Nonmanufacturing,Proprietor,nonintact,white,0.0,between 3.3 and 14.6
Operative-Manufacturing,Proprietor,nonintact,white,0.7,between 3.3 and 14.6
Professional_Self-Employed,Clerk,intact,black,1.1,between 0.6 and 3.3
Salesman-Nonretail,Service_Worker,nonintact,white,1.7,between 0.6 and 3.3
Clerk,Salesman-Nonretail,intact,black,0.0,less than 0.6
Professional_Self-Employed,Clerk,intact,white,22.4,between 3.3 and 14.6
Professional-Salaried,Proprietor,nonintact,white,0.8,between 0.6 and 3.3
Salesman-Retail,Laborer-Manufacturing,nonintact,white,1.6,between 0.6 and 3.3
Farmer/Farm_Manager,Salesman-Retail,nonintact,black,1.4,less than 0.6
Professional-Salaried,Salesman-Nonretail,intact,black,0.9,between 0.6 and 3.3
Salesman-Retail,Manager,intact,white,16.4,greater than 14.6
Clerk,Operative-Manufacturing,intact,white,63.2,greater than 14.6
Farm_Laborer,Clerk,intact,black,2.4,between 3.3 and 14.6
Clerk,Service_Worker,intact,black,4.3,between 0.6 and 3.3
Farmer/Farm_Manager,Craftsman-Construction,intact,black,8.8,greater than 14.6
Professional-Salaried,Craftsmen-Other,nonintact,white,4.3,between 3.3 and 14.6
Farm_Laborer,Professional_Self-Employed,nonintact,white,0.0,less than 0.6
Farmer/Farm_Manager,Laborer-Manufacturing,nonintact,white,17.0,between 3.3 and 14.6
Salesman-Nonretail,Operative-Nonmanufacturing,intact,white,26.7,greater than 14.6
Farm_Laborer,Craftsman-Construction,intact,white,14.6,greater than 14.6
Operative-Manufacturing,Operative-Nonmanufacturing,intact,black,11.9,between 3.3 and 14.6
Farmer/Farm_Manager,Operative-Nonmanufacturing,intact,white,250.1,greater than 14.6
Salesman-Retail,Professional-Salaried,nonintact,black,0.0,less than 0.6
Laborer-Nonmanufacturing,Professional_Self-Employed,intact,white,3.8,between 3.3 and 14.6
Craftsman-Manufacturing,Farm_Laborer,intact,black,0.0,less than 0.6
Craftsmen-Other,Craftsman-Construction,intact,white,45.6,greater than 14.6
Operative-Manufacturing,Salesman-Retail,nonintact,black,0.0,less than 0.6
Laborer-Nonmanufacturing,Manager,nonintact,black,0.0,less than 0.6
Salesman-Retail,Manager,intact,black,0.0,less than 0.6
Salesman-Retail,Farm_Laborer,intact,white,3.1,less than 0.6
Craftsman-Construction,Craftsmen-Other,intact,black,0.0,between 3.3 and 14.6
Farmer/Farm_Manager,Operative-Manufacturing,intact,black,41.7,greater than 14.6
Laborer-Nonmanufacturing,Operative-Manufacturing,intact,white,92.4,greater than 14.6
Laborer-Nonmanufacturing,Craftsmen-Other,nonintact,black,1.4,between 0.6 and 3.3
Farm_Laborer,Laborer-Manufacturing,intact,white,19.1,greater than 14.6
Professional-Salaried,Clerk,nonintact,white,11.6,between 3.3 and 14.6
Professional_Self-Employed,Craftsman-Construction,intact,white,6.8,between 3.3 and 14.6
Craftsman-Construction,Craftsman-Manufacturing,nonintact,white,6.6,between 0.6 and 3.3
Laborer-Nonmanufacturing,Manager,nonintact,white,0.0,between 3.3 and 14.6
Professional_Self-Employed,Laborer-Manufacturing,nonintact,white,1.6,less than 0.6
Operative-Nonmanufacturing,Craftsman-Construction,intact,white,41.1,greater than 14.6
Laborer-Manufacturing,Salesman-Nonretail,intact,black,0.5,less than 0.6
Proprietor,Laborer-Manufacturing,nonintact,white,3.0,between 0.6 and 3.3
Proprietor,Laborer-Manufacturing,intact,white,19.1,between 3.3 and 14.6
Clerk,Farmer/Farm_Manager,nonintact,white,0.8,between 0.6 and 3.3
Proprietor,Operative-Nonmanufacturing,intact,black,0.8,between 0.6 and 3.3
Craftsman-Construction,Craftsman-Manufacturing,nonintact,black,0.0,less than 0.6
Laborer-Nonmanufacturing,Proprietor,intact,black,0.0,between 0.6 and 3.3
Manager,Professional-Salaried,intact,black,2.2,between 0.6 and 3.3
Craftsmen-Other,Manager,intact,black,2.2,between 0.6 and 3.3
Laborer-Nonmanufacturing,Professional-Salaried,intact,white,41.8,greater than 14.6
Operative-Nonmanufacturing,Salesman-Retail,nonintact,white,8.4,between 0.6 and 3.3
Service_Worker,Professional-Salaried,nonintact,white,30.5,greater than 14.6
Operative-Manufacturing,Craftsman-Manufacturing,intact,white,87.4,greater than 14.6
Craftsmen-Other,Laborer-Manufacturing,intact,black,3.5,between 0.6 and 3.3
Proprietor,Operative-Nonmanufacturing,nonintact,black,0.0,between 0.6 and 3.3
Craftsmen-Other,Craftsmen-Other,intact,white,180.7,greater than 14.6
Craftsman-Manufacturing,Craftsman-Manufacturing,intact,black,1.5,between 3.3 and 14.6
Laborer-Manufacturing,Salesman-Nonretail,nonintact,black,0.5,less than 0.6
Professional-Salaried,Clerk,nonintact,black,2.7,between 0.6 and 3.3
Laborer-Manufacturing,Salesman-Retail,intact,white,9.5,between 3.3 and 14.6
Operative-Nonmanufacturing,Laborer-Manufacturing,nonintact,black,0.9,between 0.6 and 3.3
Professional_Self-Employed,Manager,nonintact,black,0.0,less than 0.6
Laborer-Nonmanufacturing,Farmer/Farm_Manager,nonintact,white,0.0,between 0.6 and 3.3
Professional-Salaried,Service_Worker,intact,white,24.8,greater than 14.6
Service_Worker,Craftsman-Manufacturing,intact,white,33.7,greater than 14.6
Laborer-Nonmanufacturing,Service_Worker,nonintact,black,7.0,between 3.3 and 14.6
Professional-Salaried,Proprietor,nonintact,black,0.0,less than 0.6
Craftsman-Manufacturing,Farm_Laborer,intact,white,11.9,between 0.6 and 3.3
Salesman-Nonretail,Farmer/Farm_Manager,intact,black,0.0,less than 0.6
Craftsman-Construction,Service_Worker,intact,white,33.5,greater than 14.6
Laborer-Nonmanufacturing,Craftsmen-Other,nonintact,white,0.8,between 3.3 and 14.6
Farm_Laborer,Operative-Nonmanufacturing,nonintact,black,8.5,between 3.3 and 14.6
Professional_Self-Employed,Craftsman-Manufacturing,intact,white,7.6,between 3.3 and 14.6
Craftsman-Manufacturing,Laborer-Nonmanufacturing,intact,black,5.2,between 0.6 and 3.3
Craftsman-Construction,Manager,intact,white,26.7,greater than 14.6
Operative-Nonmanufacturing,Craftsman-Construction,intact,black,2.2,between 3.3 and 14.6
Salesman-Retail,Craftsman-Construction,nonintact,black,0.0,less than 0.6
Proprietor,Professional_Self-Employed,nonintact,white,1.5,between 0.6 and 3.3
Laborer-Nonmanufacturing,Operative-Manufacturing,nonintact,white,7.3,between 3.3 and 14.6
Craftsman-Manufacturing,Service_Worker,intact,black,2.7,between 3.3 and 14.6
Laborer-Manufacturing,Manager,intact,white,3.1,greater than 14.6
Manager,Salesman-Retail,nonintact,white,6.3,between 0.6 and 3.3
Proprietor,Proprietor,intact,black,0.5,less than 0.6
Craftsman-Construction,Farm_Laborer,nonintact,white,4.4,less than 0.6
Service_Worker,Craftsmen-Other,intact,black,5.4,between 3.3 and 14.6
Service_Worker,Farm_Laborer,intact,black,2.0,between 0.6 and 3.3
Professional_Self-Employed,Laborer-Manufacturing,intact,black,0.0,less than 0.6
Service_Worker,Salesman-Retail,nonintact,black,3.2,between 0.6 and 3.3
Craftsmen-Other,Manager,nonintact,black,0.6,between 0.6 and 3.3
Craftsman-Construction,Farmer/Farm_Manager,intact,black,0.0,less than 0.6
Operative-Nonmanufacturing,Craftsmen-Other,nonintact,black,0.7,between 3.3 and 14.6
Farmer/Farm_Manager,Service_Worker,intact,black,20.9,greater than 14.6
Farmer/Farm_Manager,Craftsmen-Other,nonintact,white,12.8,greater than 14.6
Manager,Laborer-Nonmanufacturing,nonintact,black,0.0,less than 0.6
Farm_Laborer,Professional_Self-Employed,intact,black,0.0,less than 0.6
Farmer/Farm_Manager,Proprietor,intact,black,0.4,between 0.6 and 3.3
Salesman-Retail,Operative-Manufacturing,intact,black,0.8,less than 0.6
Laborer-Manufacturing,Operative-Nonmanufacturing,nonintact,black,1.8,between 0.6 and 3.3
Craftsmen-Other,Farmer/Farm_Manager,nonintact,white,0.0,between 0.6 and 3.3
Professional_Self-Employed,Laborer-Nonmanufacturing,nonintact,black,0.0,less than 0.6
Laborer-Manufacturing,Craftsman-Manufacturing,intact,white,24.8,greater than 14.6
Clerk,Service_Worker,nonintact,black,1.7,between 0.6 and 3.3
Operative-Manufacturing,Craftsmen-Other,intact,white,74.2,greater than 14.6
Proprietor,Operative-Nonmanufacturing,intact,white,59.7,greater than 14.6
Craftsmen-Other,Operative-Manufacturing,intact,white,148.3,greater than 14.6
Laborer-Nonmanufacturing,Farm_Laborer,nonintact,white,3.4,between 0.6 and 3.3
Laborer-Nonmanufacturing,Laborer-Nonmanufacturing,nonintact,white,15.0,between 3.3 and 14.6
Craftsman-Manufacturing,Laborer-Nonmanufacturing,intact,white,66.1,greater than 14.6
Craftsmen-Other,Craftsman-Manufacturing,intact,black,1.5,between 0.6 and 3.3
Craftsman-Manufacturing,Professional_Self-Employed,nonintact,white,0.0,between 0.6 and 3.3
Manager,Craftsman-Construction,intact,black,0.0,less than 0.6
Operative-Manufacturing,Laborer-Nonmanufacturing,nonintact,white,22.3,between 3.3 and 14.6
Farm_Laborer,Manager,nonintact,black,0.0,between 0.6 and 3.3
Operative-Manufacturing,Operative-Nonmanufacturing,nonintact,white,30.4,greater than 14.6
Manager,Operative-Nonmanufacturing,nonintact,black,2.0,between 0.6 and 3.3
Salesman-Nonretail,Craftsman-Manufacturing,nonintact,white,0.8,between 0.6 and 3.3
Craftsman-Manufacturing,Proprietor,nonintact,black,0.0,less than 0.6
Professional_Self-Employed,Professional_Self-Employed,intact,white,22.9,greater than 14.6
Proprietor,Salesman-Nonretail,nonintact,white,4.0,between 3.3 and 14.6
Operative-Nonmanufacturing,Laborer-Nonmanufacturing,nonintact,black,7.0,between 3.3 and 14.6
Service_Worker,Farm_Laborer,nonintact,white,18.9,between 0.6 and 3.3
Craftsmen-Other,Salesman-Nonretail,intact,black,1.0,less than 0.6
Salesman-Retail,Laborer-Nonmanufacturing,intact,black,1.4,between 0.6 and 3.3
Service_Worker,Manager,intact,white,30.0,greater than 14.6
Craftsman-Construction,Craftsmen-Other,nonintact,white,5.8,between 3.3 and 14.6
Craftsman-Manufacturing,Salesman-Retail,intact,white,46.4,greater than 14.6
Professional_Self-Employed,Operative-Nonmanufacturing,intact,black,0.0,between 0.6 and 3.3
Laborer-Nonmanufacturing,Salesman-Nonretail,nonintact,white,0.0,between 0.6 and 3.3
Clerk,Clerk,intact,white,110.3,greater than 14.6
Laborer-Nonmanufacturing,Laborer-Manufacturing,nonintact,black,1.9,less than 0.6
Service_Worker,Operative-Nonmanufacturing,intact,white,55.9,greater than 14.6
Clerk,Professional-Salaried,nonintact,black,0.4,between 0.6 and 3.3
Salesman-Nonretail,Professional-Salaried,nonintact,black,0.0,less than 0.6
Laborer-Nonmanufacturing,Laborer-Manufacturing,intact,white,31.4,between 3.3 and 14.6
Proprietor,Professional-Salaried,intact,white,165.7,greater than 14.6
Craftsman-Manufacturing,Operative-Manufacturing,intact,white,236.9,greater than 14.6
Professional_Self-Employed,Operative-Nonmanufacturing,nonintact,white,2.3,between 0.6 and 3.3
Manager,Salesman-Retail,intact,black,1.3,less than 0.6
Manager,Salesman-Nonretail,nonintact,white,6.8,between 3.3 and 14.6
Salesman-Nonretail,Farm_Laborer,nonintact,black,0.0,less than 0.6
Operative-Manufacturing,Salesman-Retail,nonintact,white,6.2,between 3.3 and 14.6
Manager,Manager,intact,black,0.0,between 0.6 and 3.3
Farmer/Farm_Manager,Laborer-Manufacturing,intact,black,31.8,greater than 14.6
Operative-Manufacturing,Manager,nonintact,white,8.0,greater than 14.6
Manager,Farmer/Farm_Manager,nonintact,white,0.0,between 0.6 and 3.3
Professional-Salaried,Professional-Salaried,nonintact,black,3.1,between 3.3 and 14.6
Craftsman-Construction,Operative-Nonmanufacturing,intact,white,115.6,greater than 14.6
Professional-Salaried,Operative-Nonmanufacturing,intact,white,48.4,greater than 14.6
Laborer-Manufacturing,Salesman-Retail,nonintact,white,2.4,between 0.6 and 3.3
Operative-Nonmanufacturing,Salesman-Retail,intact,white,58.0,greater than 14.6
Service_Worker,Service_Worker,nonintact,black,44.8,greater than 14.6
Craftsman-Construction,Farm_Laborer,intact,white,33.1,between 3.3 and 14.6
Laborer-Manufacturing,Craftsmen-Other,intact,black,1.4,between 3.3 and 14.6
Service_Worker,Salesman-Nonretail,intact,white,17.7,greater than 14.6
Laborer-Manufacturing,Craftsmen-Other,nonintact,white,1.5,between 3.3 and 14.6
Farmer/Farm_Manager,Laborer-Nonmanufacturing,intact,black,42.1,greater than 14.6
Operative-Manufacturing,Proprietor,nonintact,black,0.0,less than 0.6
Operative-Nonmanufacturing,Farmer/Farm_Manager,nonintact,white,1.7,between 0.6 and 3.3
Proprietor,Clerk,intact,white,97.1,greater than 14.6
Manager,Professional_Self-Employed,nonintact,black,0.0,less than 0.6
Laborer-Manufacturing,Laborer-Manufacturing,intact,white,69.6,greater than 14.6
