fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Clerk,Farmer/Farm_Manager,intact,black,1.9,between 0.6 and 3.3
Operative-Manufacturing,Professional_Self-Employed,nonintact,black,0.0,less than 0.6
Manager,Professional-Salaried,intact,white,11.4,greater than 14.6
Salesman-Nonretail,Clerk,nonintact,white,6.3,between 3.3 and 14.6
Laborer-Nonmanufacturing,Operative-Nonmanufacturing,intact,black,29.5,greater than 14.6
Salesman-Nonretail,Farm_Laborer,nonintact,black,0.8,less than 0.6
Professional-Salaried,Laborer-Manufacturing,intact,white,22.9,between 3.3 and 14.6
Craftsman-Manufacturing,Craftsman-Manufacturing,nonintact,black,1.2,less than 0.6
Farmer/Farm_Manager,Laborer-Nonmanufacturing,intact,white,15.6,between 3.3 and 14.6
Craftsman-Construction,Professional_Self-Employed,nonintact,white,0.0,less than 0.6
Salesman-Retail,Professional-Salaried,intact,black,0.5,between 0.6 and 3.3
Proprietor,Service_Worker,nonintact,black,13.9,between 3.3 and 14.6
Professional_Self-Employed,Proprietor,intact,white,24.9,greater than 14.6
Operative-Manufacturing,Manager,nonintact,white,2.7,between 0.6 and 3.3
Manager,Salesman-Nonretail,intact,black,0.0,less than 0.6
Laborer-Manufacturing,Laborer-Manufacturing,nonintact,white,10.3,less than 0.6
Salesman-Nonretail,Professional_Self-Employed,nonintact,black,0.0,less than 0.6
Clerk,Laborer-Nonmanufacturing,intact,white,26.5,greater than 14.6
Craftsmen-Other,Professional_Self-Employed,intact,black,0.9,between 0.6 and 3.3
Operative-Nonmanufacturing,Farm_Laborer,nonintact,black,14.2,between 3.3 and 14.6
Salesman-Nonretail,Operative-Manufacturing,intact,white,18.1,between 3.3 and 14.6
Craftsman-Manufacturing,Professional-Salaried,nonintact,white,0.6,less than 0.6
Farmer/Farm_Manager,Clerk,nonintact,black,1.8,between 0.6 and 3.3
Professional_Self-Employed,Laborer-Nonmanufacturing,intact,black,30.3,greater than 14.6
Laborer-Nonmanufacturing,Service_Worker,intact,white,25.9,between 3.3 and 14.6
Craftsman-Construction,Professional_Self-Employed,intact,white,10.9,greater than 14.6
Salesman-Nonretail,Craftsman-Manufacturing,nonintact,black,0.2,less than 0.6
Professional-Salaried,Professional_Self-Employed,intact,black,0.0,less than 0.6
