pop,education,houses,income,xcoord,ycoord,ln_votes_pop,10.1947,9.4774,9.2573,12.3245,-84040193,43289121,greater than -0.441693965696886
9.142297,8.365153,7.965531,11.07525,-94395093,37815847.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
7.925426,7.291211,6.923911,9.987396,-117175355,41002522.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
8.765511,8.06816,7.765341,10.86422,-97127067,43916014.0,greater than -0.441693965696886,,,,,,,
10.05975,9.39499,8.984751,12.26819,-82333585,35982431.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
9.615541,8.839375,8.600349,11.64596,-111466124,39474584.0,less than -0.6999407366495485,,,,,,,
11.04932,10.39416,9.963181,13.18482,-72938286,37976712.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
9.827681,9.046191,8.799115,11.93793,-99915427,38152996.0,greater than -0.441693965696886,,,,,,,
10.47467,9.80873,9.493459,12.59259,-79114218,30668312.0,less than -0.6999407366495485,,,,,,,
7.536253,6.983241,6.555695,9.602349,-103450435,40560561.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
9.458201,8.620549,8.360679,11.36519,-95243647,35865634.0,less than -0.6999407366495485,,,,,,,
10.9119,10.23416,9.868619,12.95534,-96446814,39134847.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
11.73639,11.12633,10.58474,13.79965,-80883744,41217032.0,greater than -0.441693965696886,,,,,,,
8.301304,7.699399,7.193877,10.19616,-104380396,34919593.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
9.962439,9.21653,9.030599,11.99685,-107135131,42213975.0,less than -0.6999407366495485,,,,,,,
7.767202,7.097829,6.693877,9.765899,-96968649,31210453.0,greater than -0.441693965696886,,,,,,,
8.606471,7.843651,7.625899,10.73021,-89268902,40179673.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
10.19597,9.45282,9.144174,12.25289,-78419108,37705678.0,less than -0.6999407366495485,,,,,,,
9.339319,8.505185,8.197615,11.20951,-91140904,44771415.0,greater than -0.441693965696886,,,,,,,
11.55435,10.91845,10.37286,13.64642,-83121776,41046265.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
9.071729,8.202011,7.883629,10.89585,-117555814,38199526.0,less than -0.6999407366495485,,,,,,,
8.960159,8.16127,7.999755,11.0473,-103444766,30113524.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
10.75369,10.10157,9.732429,12.77697,-93419322,34198541.0,less than -0.6999407366495485,,,,,,,
11.28495,10.56441,10.14742,13.39432,-88915441,44211625.0,greater than -0.441693965696886,,,,,,,
7.997241,7.295153,6.911158,9.924142,-101475177,40481918.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
9.243819,8.448679,8.040169,11.14341,-108827439,4274297.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
10.62736,9.93123,9.573966,12.66536,-72938281,38516369.0,less than -0.6999407366495485,,,,,,,
9.486981,8.699411,8.375331,11.34319,-96391147,40635414.0,greater than -0.441693965696886,,,,,,,
11.92738,11.28329,10.68322,13.91657,-70594139,47911611.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
8.438191,7.804361,7.425769,10.5205,-99763149,34953073.0,less than -0.6999407366495485,,,,,,,
9.812091,9.002281,8.750179,11.76538,-104823586,39412966.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
10.34537,9.62123,9.306879,12.40087,-82137554,37891155.0,greater than -0.441693965696886,,,,,,,
7.741159,7.043161,6.693451,9.659409,-115962622,43331941.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
11.49975,10.79917,10.33483,13.53712,-73969529,44651185.0,less than -0.6999407366495485,,,,,,,
9.547304,8.755681,8.432549,11.41937,-101449968,40837011.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
8.380171,7.691102,7.240198,10.34831,-108587866,36369549.0,greater than -0.441693965696886,,,,,,,
10.86116,10.17951,9.846641,12.85762,-78318641,42975634.0,less than -0.6999407366495485,,,,,,,
11.64587,11.03334,10.54449,13.73353,-93192128,36915114.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
8.926759,8.12333,7.912551,10.95022,-98755598,40016449.0,greater than -0.441693965696886,,,,,,,
9.191171,8.394671,7.988205,11.09019,-103136289,39567419.0,less than -0.6999407366495485,,,,,,,
10.56495,9.86884,9.55513,12.62669,-88215833,39734115.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
7.624181,7.007631,6.665671,9.634139,-112923131,42239575.0,greater than -0.441693965696886,,,,,,,
11.38232,10.65164,10.27044,13.46319,-82536251,44141354.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
9.363609,8.588871,8.259551,11.2556,-114162619,42841916.0,less than -0.6999407366495485,,,,,,,
10.08299,9.39118,9.017411,12.14257,-95442132,31775922.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
8.743209,7.987601,7.741549,10.7761,-96720136,43558921.0,greater than -0.441693965696886,,,,,,,
9.960399,9.19394,8.974419,11.93285,-105321171,39615545.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
10.43631,9.70442,9.44491,12.48899,-82419955,41146859.0,less than -0.6999407366495485,,,,,,,
11.59117,10.92379,10.43338,13.67759,-70389944,34319454.0,greater than -0.441693965696886,,,,,,,
9.83123179538092,9.14067756696303,8.94115633475416,11.9367601203708,-94551312.0,38818413.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
10.4639114397959,9.93472139964777,9.48611341964722,12.6301041064452,-87012064.0,42998246.0,greater than -0.441693965696886,,,,,,,
8.59103319613286,7.86188211855414,7.80879265007713,10.6783953554745,-96255500.0,34219777.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
11.7059088658598,10.8743823242178,10.7917411499023,13.7561130912096,-75043201.0,40782442.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
9.29947540614954,8.65558620125926,8.2364309387207,11.3293570484192,-84111043.0,36489529.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
8.92417070067392,8.06182363860053,7.96812020830965,11.0005901107105,-86832533.0,44991567.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
10.194551126525,9.43945526831052,9.19547174072266,12.3641322930415,-82654265.0,35015544.0,less than -0.6999407366495485,,,,,,,
11.4399111119385,10.777272277832,10.3902567749023,13.6979465332031,-118061305.0,40202595.0,greater than -0.441693965696886,,,,,,,
9.68441909218936,9.15105735086014,8.82441464710254,11.8153752510663,-94355533.0,44559043.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
9.14274993574179,8.37317899531142,8.06724530029297,11.1936172487758,-94448800.0,43359077.0,less than -0.6999407366495485,,,,,,,
10.843246824329,10.2212565230175,9.96594149380467,13.1231560058594,-79215389.0,32759835.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
8.43952507723036,7.73817635422852,7.62670910472164,10.5551859836633,-104364256.0,30034152.0,greater than -0.441693965696886,,,,,,,
9.95520611541145,9.39036992513623,9.16814440552539,12.2101135364077,-102734003.0,44015629.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
11.0617597654119,10.4854219665527,10.0655156021118,13.3634191294172,-103504640.0,39484923.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
8.976213157814,8.24315768521118,7.89221568371975,10.9984971351626,-81027251.0,42793918.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
9.76933292617292,9.25688265991211,9.0094299639282,11.9573453418067,-86911017.0,40165430.0,greater than -0.441693965696886,,,,,,,
10.65932436041,9.98568933076514,9.7915126953125,12.8817731628418,-88755104.0,30507744.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
8.68942017071517,7.91311084365845,7.79285723876953,10.7708322187604,-90095024.0,36920280.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
8.14532479858301,7.41124906921387,7.31099073791504,10.3333232498165,-99594239.0,40587048.0,greater than -0.441693965696886,,,,,,,
11.2927597206196,10.6707722166138,10.5068749694824,13.6166701734619,-111499008.0,42011434.0,less than -0.6999407366495485,,,,,,,
9.45172161009216,8.81312976074219,8.61874562072754,11.6253441849216,-85577451.0,35714511.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
9.0162116433561,8.19410723876953,7.95642001342773,10.9808168334961,-82539223.0,46813274.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
10.8161661824048,10.1941582770386,9.9001350402832,13.1594263725282,-93310752.0,36978955.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
8.74803203601188,8.0817382890625,7.90111923217773,10.844271774292,(-96017918.0,44185935.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
12.0518060453944,11.4034576416016,11.0364998626709,14.2937744704214,-75494208.0,32218222.0,greater than -0.441693965696886,,,,,,,
9.55947192382813,9.07647586154924,8.73474568580628,11.6808702163696,-87744951.0,38284057.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
10.4955040168762,9.91659069061279,9.65581429345703,12.8366568223879,-97949746.0,43416682.0,less than -0.6999407366495485,,,,,,,
8.35636152247057,7.69579246990967,7.48677037811279,10.4714357301634,-109045651.0,37898242.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
9.89011166131592,9.36417807006836,9.03227215576172,12.1020887908936,-113908339.0,32289515.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
11.9443994756899,11.2418137047129,10.9251446724854,14.1797365800781,-76156960.0,36099386.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
8.20710724907671,7.49551790993477,7.43957022094727,10.3939888982778,-96581933.0,46384018.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
9.74671681451717,9.1861579286499,8.90346915435791,11.8927344303136,-88749327.0,32730553.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
10.0178655796508,9.34333869464111,8.85786056518555,11.9511665840146,-100259483.0,44415326.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
8.96410833090973,8.16639350963904,7.98715866088867,10.9251513942222,-88992492.0,42979984.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
11.5834869232178,10.9557293014526,10.682502746582,13.8631924353102,-96149169.0,44294678.0,greater than -0.441693965696886,,,,,,,
9.37393715422449,8.78717046910095,8.5006692276001,11.5954423836512,-104735552.0,44834197.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
8.5551961371767,7.88054062271118,7.75178409976178,10.6607398948664,-105174161.0,29492161.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
9.61712466816719,9.11011338513184,8.82366996571162,11.8744809110712,-94975904.0,37813442.0,greater than -0.441693965696886,,,,,,,
9.08010208172953,8.29649073791504,8.080657460144,11.0822631878163,-99317724.0,31649754.0,less than -0.6999407366495485,,,,,,,
10.7712483406066,10.1443518903809,9.86141204833984,13.0526502685547,-77728652.0,43976421.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
8.33070000407801,7.6487957411499,7.57451629638672,10.4447341424401,-101911011.0,37014284.0,greater than -0.441693965696886,,,,,,,
9.9181863573151,9.34038650512793,9.10015194781514,12.1538241008607,-103419488.0,31621793.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
11.1743997362018,10.5257416914062,10.1727258605957,13.4123964307403,-76149992.0,41989299.0,greater than -0.441693965696886,,,,,,,
8.81744916589351,8.03718464660645,7.94516075134277,10.8703255176086,-107631993.0,42073457.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
10.4943236741333,9.95413533975928,9.67662181384277,12.7173995151978,-96234287.0,38312368.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
9.33917128181469,8.71699421691895,8.45649528503418,11.5026512861946,-84927085.0,44699351.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
10.2759609222412,9.62414228457642,9.35241776293945,12.4073432388306,-79412176.0,44518171.0,greater than -0.441693965696886,,,,,,,
11.6833044923596,11.0811768035889,10.774227142333,14.0059350131836,-76373438.0,39443444.0,less than -0.6999407366495485,,,,,,,
9.44651744479313,8.83219528198243,8.58927565383911,11.5945906828005,-110445875.0,35281381.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
10.6280712890625,10.0569301337513,9.76850128192139,13.0181848537125,-77177666.0,41117006.0,greater than -0.441693965696886,,,,,,,
9.18078684711456,8.50320178222656,8.24426294708252,11.3493232737276,-82611276.0,46376066.0,less than -0.6999407366495485,,,,,,,
8.67764218521191,7.95043933886719,7.78111329841614,10.7052592163086,-101113194.0,38185957.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
9.81517009771729,9.28481985473633,9.00189208984375,11.960510887145,(-102342300.0,40295055.0,greater than -0.441693965696886,,,,,,,
11.2384603168879,10.6431159973145,10.3656578063965,13.6241037750244,-82979428.0,44638244.0,greater than -0.441693965696886,,,,,,,
9.49520024113277,8.91189575195313,8.73089526748657,11.6897659301758,-85322557.0,36179642.0,less than -0.6999407366495485,,,,,,,
10.9913026733398,10.3812060354304,9.97679156494141,13.2368325500488,-111915713.0,36588092.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
8.99134111386114,8.13517761230469,7.94447910308838,10.9455566864014,-100392340.0,32349211.0,between -0.565824729711181 and -0.441693965696886,,,,,,,
9.73634237098657,9.21315658569336,8.96841430664063,12.0331999702454,-86411319.0,44419575.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
10.5722929191585,10.0467609211917,9.73241996765137,12.9012337417603,-81912103.0,36789140.0,greater than -0.441693965696886,,,,,,,
9.38638705444336,8.75612075042725,8.51342692718506,11.562120880127,(-93110220.0,38819423.0,between -0.6999407366495485 and -0.565824729711181,,,,,,,
11.4976237739403,10.8630522918701,10.6956748966064,13.8631150512695,-86612427.0,44117966.0,less than -0.6999407366495485,,,,,,,
,,,,,,,9.8278,9.0621,8.9184,11.9382,-95510317.0,38847381.0,between -0.565824729711181 and -0.441693965696886
