class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
F,K,C,1.6313274,2.999501,1.0003401,2.0079627,2.003925,1.084194,1,greater than 0.0
D,S,O,1.0206325,3.0025208,0.9810809,0.99738383,2.0009549,1.0001429,1,greater than 0.0
F,S,C,2.0060534,3.0009234,0.9996954,2.0004501,2.0006256,1.9305094,1,greater than 0.0
C,R,O,1.0000179,3.0076587,0.9992124,0.99801886,2.000146,0.999888,1,greater than 0.0
E,S,O,1.5048747,3.0028393,1.0041915,2.0000896,2.0003748,1.000247,1,greater than 0.0
D,S,O,1.002489,3.0085921,0.9999649,0.99707276,2.0001307,1.0000867,1,greater than 0.0
F,R,I,2.0030522,3.0019257,1.0581369,2.000451,1.9989508,0.9998189,1,greater than 0.0
D,S,C,1.529853,3.0003738,0.9996914,2.006679,1.9979361,1.623887,1,greater than 0.0
B,X,O,1.0014083,3.0104966,0.99941844,0.99876803,2.0010176,1.0012482,1,greater than 0.0
C,A,I,0.9072266,3.0122845,0.98101044,1.0000033,1.9999164,0.9999467,1,greater than 0.0
D,S,O,1.0001011,2.9938183,0.99981993,0.9973161,2.0002708,0.9993639,1,greater than 0.0
E,S,O,1.000588,3.0095227,0.5705882,2.0004814,2.0006056,1.0002561,1,greater than 0.0
H,S,X,2.004317,3.0122004,0.99993116,2.0004516,1.0105088,0.99949235,1,greater than 0.0
E,S,O,0.99998134,0.99768573,1.0000688,0.99916995,2.0004144,1.0003057,1,greater than 0.0
E,S,O,0.99986506,1.9982288,1.0000247,0.9989785,2.0000665,1.0000949,1,greater than 0.0
C,S,I,0.9996547,3.0023859,0.9992166,0.99817413,2.0000837,1.0005713,1,greater than 0.0
H,A,X,1.0017627,2.996094,1.001405,1.001383,1.0389766,0.9998836,1,greater than 0.0
H,S,X,2.013396,2.0022323,1.0000571,2.007391,1.999187,0.9998319,1,greater than 0.0
H,S,X,1.0001345,2.9974215,1.0003058,1.0008703,2.0021772,0.9998388,1,greater than 0.0
H,R,X,1.5888176,2.9974477,1.000248,2.0046487,1.9999747,1.0000714,1,greater than 0.0
C,R,O,1.0000763,3.0066414,1.0001014,2.004267,2.001793,1.000071,1,greater than 0.0
F,S,O,2.010736,2.9942858,1.0001346,2.0033078,2.0009866,1.0003567,1,greater than 0.0
E,A,I,0.99806917,3.0009627,1.0014118,2.0030088,2.0005624,1.0009604,1,greater than 0.0
H,R,C,2.0017517,2.9970517,1.0002407,2.0033944,2.000109,2.0200891,1,greater than 0.0
D,A,O,1.0002254,1.9954215,-2.6984868,2.0028095,2.000665,0.99997395,1,greater than 0.0
D,S,I,1.0001086,3.0012743,0.9991657,0.9978434,2.000115,1.0006711,1,greater than 0.0
