class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
H,A,X,1.0007246,2.9990675,1.0003629,0.9994959,1.1682985,1.0002682,1,greater than 0.0
E,A,C,1.0006981,3.0096183,0.9991088,1.9912417,1.9992832,0.99987394,1,greater than 0.0
C,R,O,1.0007383,1.9926554,0.9995988,0.9976265,2.001271,0.99992424,1,greater than 0.0
H,R,X,1.000832,1.9987526,0.91073847,0.9976542,1.9996738,1.0000007,1,greater than 0.0
H,R,C,0.99938965,2.9874058,1.0018855,2.0016615,2.001994,0.9993959,1,greater than 0.0
H,S,X,1.0008806,3.0035717,0.5436795,1.9997617,1.0028132,1.0002582,1,greater than 0.0
B,A,C,1.000828,3.0007951,2.1587143,2.0014348,2.0016007,1.0014372,1,greater than 0.0
B,X,O,1.0000527,3.0015898,0.6684501,1.0014142,2.0006194,1.0000091,1,greater than 0.0
D,A,I,1.7625716,3.0005698,1.0015719,1.0012562,2.0013945,1.0000143,1,greater than 0.0
B,X,O,1.001642,3.0075734,1.0017004,0.9990477,2.000037,0.99986047,1,greater than 0.0
E,R,I,1.0001224,3.002911,1.0006272,2.0073855,2.001262,1.000037,1,greater than 0.0
H,A,X,0.99936277,1.9981502,1.0009786,0.998812,2.000212,1.0005658,1,greater than 0.0
E,R,O,1.0005288,2.9916375,0.9975208,0.99876046,1.9996221,0.17603153,1,greater than 0.0
H,S,I,1.001734,1.9962628,1.0006442,2.001816,2.0018117,1.0001342,1,greater than 0.0
H,R,X,1.0012622,2.9953601,2.1469858,2.0136724,1.9999971,0.99943584,1,greater than 0.0
D,A,O,1.0019838,2.9976258,1.0025772,2.0012043,1.9996212,0.99993503,1,greater than 0.0
H,R,X,2.0087202,3.0020347,1.6094064,2.0018532,2.000453,0.99994093,1,greater than 0.0
C,S,O,1.0015384,2.9989872,1.0014197,0.9996903,1.9994028,0.9999101,1,greater than 0.0
D,A,O,1.0001901,3.0009685,1.0002248,0.9987528,2.0004663,0.99983096,1,greater than 0.0
B,R,C,1.0004277,3.0033085,0.9994293,0.9992698,2.002542,1.0009934,1,greater than 0.0
H,R,X,0.99872154,3.003232,1.0002202,1.0001246,2.005421,1.0002859,1,greater than 0.0
C,S,O,1.0007942,1.0238379,0.99689186,0.998317,1.9996047,1.0003921,1,greater than 0.0
H,A,X,1.0011925,2.999978,0.5548194,2.0068402,0.9514228,1.0000527,1,greater than 0.0
H,S,X,1.000807,3.0034168,1.0029039,1.0022013,2.0004315,0.99985117,1,greater than 0.0
D,R,O,1.0011708,2.0129821,0.9990005,0.99872035,2.0000334,1.0000638,1,greater than 0.0
H,S,X,0.99915195,3.001352,1.0004642,1.0005326,0.997948,0.999861,1,greater than 0.0
H,S,X,1.9861177,2.0063965,0.9968066,0.9995917,2.000269,1.0000699,1,greater than 0.0
D,R,I,1.0002565,3.0039895,1.0008146,2.006612,1.9993908,0.9998281,1,greater than 0.0
B,X,O,0.9999913,2.9988494,1.0010909,0.9985959,2.0004113,1.0002823,1,greater than 0.0
H,R,X,0.9990609,2.9992719,1.0010931,0.99833685,0.9861202,1.0002276,1,greater than 0.0
B,R,O,1.0002598,1.9950454,1.0008969,2.0037436,1.9994774,0.9999419,1,greater than 0.0
D,R,C,0.9996785,1.9984016,0.999987,2.006867,2.0014582,1.0004164,1,greater than 0.0
H,R,X,1.0000715,1.9998925,1.0006132,2.0071952,1.9994729,0.9998735,1,greater than 0.0
H,R,X,0.99939346,2.0110762,1.0007808,0.9991027,1.2518765,0.99949694,1,greater than 0.0
B,X,O,1.0002743,3.0000546,1.000052,0.9994142,2.0012782,0.9995929,1,greater than 0.0
B,X,O,2.003556,3.0008671,1.0048966,2.006739,2.000107,1.0000805,1,greater than 0.0
D,A,O,1.0009915,1.9989518,1.0002427,1.0013143,1.9991081,1.0001272,1,greater than 0.0
B,X,O,2.315349,3.0008993,2.1839864,0.9987682,2.0016387,1.001387,1,greater than 0.0
B,X,O,1.0000443,3.0033557,1.0009158,1.0010751,2.0003815,1.0002528,1,greater than 0.0
