Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
LAD,NL,2005,755,71,0.326,0.395,0.253,0,,,162,0.327,0.429,between 652.0 and 711.0
MIL,AL,1976,655,66,0.311,0.34,0.246,0,,,161,,,less than 652.0
BOS,AL,2003,809,95,0.36,0.491,0.289,1,4.0,3.0,162,0.327,0.415,greater than 775.0
NYY,AL,1999,731,98,0.366,0.4529999999999999,0.282,1,3.0,1.0,162,0.3289999999999999,0.4,greater than 775.0
NYM,NL,1985,568,98,0.3229999999999999,0.385,0.257,0,,,162,,,between 652.0 and 711.0
MIL,AL,1980,682,86,0.3289999999999999,0.4479999999999999,0.275,0,,,162,,,greater than 775.0
BOS,AL,1999,718,94,0.35,0.4479999999999999,0.278,1,6.0,3.0,162,0.315,0.3979999999999999,greater than 775.0
MIN,AL,1990,729,74,0.324,0.385,0.265,0,,,162,,,between 652.0 and 711.0
SDP,NL,1969,746,52,0.285,0.3289999999999999,0.225,0,,,162,,,less than 652.0
LAD,NL,1986,679,73,0.313,0.37,0.251,0,,,162,,,less than 652.0
NYY,AL,1977,651,100,0.344,0.444,0.281,1,3.0,1.0,162,,,greater than 775.0
STL,NL,1973,603,81,0.325,0.357,0.259,0,,,162,,,less than 652.0
PHI,NL,1978,586,90,0.3279999999999999,0.3879999999999999,0.258,1,4.0,3.0,162,,,between 652.0 and 711.0
CLE,AL,1999,860,97,0.373,0.467,0.289,1,4.0,4.0,162,0.347,0.439,greater than 775.0
OAK,AL,1996,900,78,0.344,0.452,0.265,0,,,162,,,greater than 775.0
HOU,NL,1989,669,86,0.306,0.345,0.239,0,,,162,,,less than 652.0
ARI,NL,2001,677,92,0.341,0.442,0.267,1,5.0,1.0,162,0.311,0.4039999999999999,greater than 775.0
CHC,NL,1987,801,76,0.326,0.432,0.264,0,,,161,,,between 711.0 and 775.0
NYM,NL,1978,690,66,0.314,0.352,0.245,0,,,162,,,less than 652.0
CHW,AL,1985,720,85,0.315,0.392,0.253,0,,,163,,,between 711.0 and 775.0
DET,AL,2011,711,95,0.34,0.434,0.2769999999999999,1,4.0,3.0,162,0.321,0.396,greater than 775.0
ARI,NL,2011,662,94,0.322,0.413,0.25,1,5.0,4.0,162,0.316,0.409,between 711.0 and 775.0
ATL,NL,2004,668,96,0.3429999999999999,0.434,0.27,1,4.0,4.0,162,0.3289999999999999,0.4,greater than 775.0
SDP,NL,1984,634,92,0.317,0.371,0.259,1,3.0,2.0,162,,,between 652.0 and 711.0
MIN,AL,2008,745,88,0.34,0.408,0.2789999999999999,0,,,163,0.324,0.431,greater than 775.0
DET,AL,2002,864,55,0.3,0.379,0.248,0,,,161,0.3429999999999999,0.455,less than 652.0
CLE,AL,1971,747,60,0.3,0.342,0.238,0,,,162,,,less than 652.0
PIT,NL,1993,806,75,0.335,0.3929999999999999,0.267,0,,,162,,,between 652.0 and 711.0
NYM,NL,1966,761,66,0.301,0.342,0.239,0,,,161,,,less than 652.0
BOS,AL,2012,806,69,0.315,0.415,0.26,0,,,162,0.331,0.428,between 711.0 and 775.0
ATL,NL,1993,559,104,0.331,0.408,0.262,1,1.0,3.0,162,,,between 711.0 and 775.0
LAD,NL,1988,544,94,0.305,0.352,0.248,1,3.0,1.0,162,,,less than 652.0
PIT,NL,1970,664,89,0.325,0.406,0.27,1,4.0,3.0,162,,,between 711.0 and 775.0
OAK,AL,1970,593,89,0.325,0.392,0.249,0,,,162,,,between 652.0 and 711.0
PIT,NL,1979,643,98,0.33,0.416,0.272,1,2.0,1.0,163,,,greater than 775.0
MIN,AL,1983,822,70,0.319,0.401,0.261,0,,,162,,,between 652.0 and 711.0
BAL,AL,1968,497,91,0.304,0.352,0.225,0,,,162,,,less than 652.0
LAD,NL,2002,643,92,0.32,0.409,0.264,0,,,162,0.315,0.387,between 711.0 and 775.0
HOU,NL,1962,717,64,0.31,0.351,0.246,0,,,162,,,less than 652.0
NYY,AL,2002,697,103,0.354,0.455,0.275,1,1.0,4.0,161,0.309,0.395,greater than 775.0
BAL,AL,1973,561,97,0.345,0.389,0.266,1,2.0,3.0,162,,,between 711.0 and 775.0
NYY,AL,1998,656,114,0.364,0.46,0.288,1,1.0,1.0,162,,,greater than 775.0
CHW,AL,2012,676,85,0.318,0.422,0.255,0,,,162,0.319,0.405,between 711.0 and 775.0
FLA,NL,2009,766,87,0.34,0.416,0.268,0,,,162,0.3329999999999999,0.408,between 711.0 and 775.0
CLE,AL,1987,957,61,0.324,0.422,0.263,0,,,162,,,between 711.0 and 775.0
ATL,NL,1992,569,98,0.316,0.3879999999999999,0.254,1,1.0,2.0,162,,,between 652.0 and 711.0
CLE,AL,1993,813,76,0.335,0.409,0.275,0,,,162,,,greater than 775.0
ATL,NL,1978,750,69,0.315,0.363,0.244,0,,,162,,,less than 652.0
KCR,AL,1997,820,67,0.3329999999999999,0.407,0.264,0,,,161,,,between 711.0 and 775.0
CLE,AL,1985,861,60,0.324,0.385,0.265,0,,,162,,,between 711.0 and 775.0
DET,AL,1973,674,85,0.32,0.39,0.254,0,,,162,,,less than 652.0
NYM,NL,2005,648,83,0.322,0.416,0.258,0,,,162,0.321,0.387,between 711.0 and 775.0
PIT,NL,1980,646,83,0.322,0.3879999999999999,0.266,0,,,162,,,between 652.0 and 711.0
PHI,NL,1992,717,70,0.32,0.377,0.253,0,,,162,,,between 652.0 and 711.0
DET,AL,1987,735,98,0.349,0.451,0.272,1,1.0,3.0,162,,,greater than 775.0
PIT,NL,1963,595,74,0.309,0.359,0.25,0,,,162,,,less than 652.0
CIN,NL,2010,685,91,0.3379999999999999,0.436,0.272,1,6.0,4.0,162,0.3229999999999999,0.396,greater than 775.0
CLE,AL,2010,752,69,0.322,0.3779999999999999,0.248,0,,,162,0.342,0.416,less than 652.0
MIL,NL,1998,812,74,0.33,0.396,0.26,0,,,162,,,between 652.0 and 711.0
ATL,NL,2005,674,90,0.3329999999999999,0.435,0.265,1,4.0,4.0,162,0.3329999999999999,0.406,between 711.0 and 775.0
LAA,AL,2012,699,89,0.332,0.433,0.2739999999999999,0,,,162,0.31,0.4029999999999999,between 711.0 and 775.0
TOR,AL,1993,742,95,0.35,0.436,0.2789999999999999,1,3.0,1.0,162,,,greater than 775.0
CHC,NL,1973,655,77,0.32,0.357,0.247,0,,,161,,,less than 652.0
TOR,AL,2003,826,86,0.349,0.455,0.2789999999999999,0,,,162,0.337,0.441,greater than 775.0
CIN,NL,1989,691,75,0.309,0.37,0.247,0,,,162,,,less than 652.0
NYY,AL,1975,588,83,0.325,0.382,0.264,0,,,160,,,between 652.0 and 711.0
CIN,NL,1964,566,92,0.308,0.372,0.249,0,,,163,,,between 652.0 and 711.0
MIN,AL,1970,605,98,0.327,0.4029999999999999,0.262,1,3.0,3.0,162,,,between 711.0 and 775.0
PIT,NL,1985,708,57,0.311,0.347,0.247,0,,,161,,,less than 652.0
PHI,NL,1965,667,85,0.313,0.384,0.25,0,,,162,,,between 652.0 and 711.0
OAK,AL,2000,813,91,0.36,0.4579999999999999,0.27,1,4.0,4.0,161,0.348,0.423,greater than 775.0
BAL,AL,1966,601,97,0.324,0.409,0.258,1,1.0,1.0,160,,,between 711.0 and 775.0
MIN,AL,1996,900,78,0.357,0.425,0.288,0,,,162,,,greater than 775.0
SFG,NL,1966,626,93,0.303,0.392,0.248,0,,,161,,,between 652.0 and 711.0
LAD,NL,1990,685,86,0.3279999999999999,0.382,0.262,0,,,162,,,between 711.0 and 775.0
KCR,AL,1996,786,75,0.332,0.3979999999999999,0.267,0,,,161,,,between 711.0 and 775.0
BAL,AL,2003,820,71,0.3229999999999999,0.405,0.268,0,,,163,0.346,0.446,between 711.0 and 775.0
CIN,NL,1998,760,77,0.337,0.402,0.262,0,,,162,,,between 711.0 and 775.0
ATL,NL,2000,714,95,0.346,0.429,0.271,1,2.0,4.0,162,0.319,0.402,greater than 775.0
TEX,AL,2005,858,79,0.3289999999999999,0.4679999999999999,0.267,0,,,162,0.3429999999999999,0.428,greater than 775.0
PIT,NL,1971,599,97,0.33,0.416,0.2739999999999999,1,2.0,1.0,162,,,greater than 775.0
BAL,AL,2012,705,93,0.311,0.417,0.247,1,5.0,4.0,162,0.315,0.4029999999999999,between 711.0 and 775.0
CIN,NL,2012,588,97,0.315,0.411,0.251,1,2.0,4.0,162,0.305,0.39,between 652.0 and 711.0
ATL,NL,1997,581,101,0.3429999999999999,0.426,0.27,1,1.0,3.0,162,,,greater than 775.0
FLA,NL,2002,763,79,0.337,0.4029999999999999,0.261,0,,,162,0.341,0.415,between 652.0 and 711.0
MON,NL,1970,807,73,0.3229999999999999,0.365,0.237,0,,,162,,,between 652.0 and 711.0
PHI,NL,2000,830,65,0.3289999999999999,0.4,0.251,0,,,162,0.3429999999999999,0.4479999999999999,between 652.0 and 711.0
PHI,NL,1966,640,87,0.322,0.3779999999999999,0.258,0,,,162,,,between 652.0 and 711.0
HOU,NL,1969,668,81,0.33,0.352,0.24,0,,,162,,,between 652.0 and 711.0
CHW,AL,2005,645,99,0.322,0.425,0.262,1,2.0,1.0,162,0.31,0.397,between 711.0 and 775.0
PHI,NL,1999,846,77,0.351,0.431,0.275,0,,,162,0.347,0.447,greater than 775.0
TEX,AL,2012,707,93,0.3339999999999999,0.446,0.273,1,5.0,5.0,162,0.309,0.408,greater than 775.0
PHI,NL,1964,632,92,0.315,0.391,0.258,0,,,162,,,between 652.0 and 711.0
DET,AL,1967,587,91,0.325,0.376,0.243,0,,,163,,,between 652.0 and 711.0
DET,AL,1990,754,79,0.337,0.409,0.259,0,,,162,,,between 711.0 and 775.0
CAL,AL,1980,797,65,0.332,0.3779999999999999,0.265,0,,,160,,,between 652.0 and 711.0
SEA,AL,1978,834,56,0.314,0.359,0.248,0,,,160,,,less than 652.0
CLE,AL,1967,613,75,0.293,0.359,0.235,0,,,162,,,less than 652.0
CHC,NL,1983,719,71,0.319,0.401,0.261,0,,,162,,,between 652.0 and 711.0
LAD,NL,1974,561,102,0.342,0.401,0.272,1,1.0,2.0,162,,,greater than 775.0
SEA,AL,2001,627,116,0.36,0.445,0.288,1,1.0,3.0,162,0.301,0.3779999999999999,greater than 775.0
LAD,NL,1969,561,85,0.315,0.359,0.254,0,,,162,,,less than 652.0
PIT,NL,1998,718,69,0.311,0.374,0.254,0,,,163,,,less than 652.0
MIN,AL,2004,715,92,0.332,0.431,0.266,1,6.0,4.0,162,0.3229999999999999,0.406,greater than 775.0
PHI,NL,2003,697,86,0.3429999999999999,0.419,0.261,0,,,162,0.327,0.401,greater than 775.0
STL,NL,2012,648,88,0.3379999999999999,0.421,0.271,1,6.0,3.0,162,0.313,0.387,between 711.0 and 775.0
CHW,AL,2001,795,83,0.3339999999999999,0.451,0.268,0,,,162,0.3339999999999999,0.427,greater than 775.0
DET,AL,1998,863,65,0.3229999999999999,0.415,0.264,0,,,162,,,between 711.0 and 775.0
NYM,NL,2011,742,77,0.335,0.391,0.264,0,,,162,0.332,0.411,between 711.0 and 775.0
NYM,NL,2002,703,75,0.322,0.395,0.256,0,,,161,0.327,0.4029999999999999,between 652.0 and 711.0
MIN,AL,2009,765,87,0.345,0.429,0.2739999999999999,1,7.0,4.0,163,0.331,0.431,greater than 775.0
TOR,AL,1980,762,67,0.309,0.3829999999999999,0.251,0,,,162,,,less than 652.0
STL,NL,2011,692,90,0.341,0.425,0.273,1,7.0,1.0,162,0.319,0.3979999999999999,between 711.0 and 775.0
NYM,NL,1983,680,68,0.3,0.344,0.241,0,,,162,,,less than 652.0
BOS,AL,2005,805,95,0.357,0.4539999999999999,0.281,1,3.0,4.0,162,0.335,0.441,greater than 775.0
ARI,NL,2008,706,82,0.327,0.415,0.251,0,,,162,0.318,0.3979999999999999,between 711.0 and 775.0
CLE,AL,1990,737,77,0.324,0.391,0.267,0,,,162,,,between 711.0 and 775.0
BAL,AL,1992,656,89,0.34,0.3979999999999999,0.259,0,,,162,,,between 652.0 and 711.0
MON,NL,1992,581,87,0.313,0.37,0.252,0,,,162,,,less than 652.0
KCR,AL,2010,845,67,0.331,0.3989999999999999,0.2739999999999999,0,,,162,0.342,0.435,between 652.0 and 711.0
PHI,NL,1980,639,91,0.327,0.4,0.27,1,4.0,1.0,162,,,between 711.0 and 775.0
PIT,NL,1983,648,84,0.325,0.3829999999999999,0.264,0,,,162,,,between 652.0 and 711.0
KCR,AL,1990,709,75,0.3279999999999999,0.395,0.267,0,,,161,,,between 652.0 and 711.0
LAD,NL,1992,636,63,0.313,0.3389999999999999,0.248,0,,,162,,,less than 652.0
SDP,NL,1976,662,73,0.31,0.337,0.247,0,,,162,,,less than 652.0
DET,AL,1963,703,79,0.327,0.382,0.252,0,,,162,,,between 652.0 and 711.0
SFG,NL,1991,697,75,0.309,0.381,0.246,0,,,162,,,less than 652.0
MIN,AL,1966,581,89,0.316,0.382,0.249,0,,,162,,,between 652.0 and 711.0
STL,NL,1991,648,84,0.322,0.357,0.255,0,,,162,,,less than 652.0
SEA,AL,1993,731,82,0.3389999999999999,0.406,0.26,0,,,162,,,between 711.0 and 775.0
SFG,NL,2002,616,95,0.344,0.442,0.267,1,6.0,2.0,162,0.319,0.372,greater than 775.0
LAD,NL,1968,509,76,0.289,0.319,0.23,0,,,162,,,less than 652.0
CHW,AL,1974,721,80,0.33,0.389,0.268,0,,,163,,,between 652.0 and 711.0
MIN,AL,2002,712,94,0.332,0.437,0.272,1,7.0,3.0,161,0.318,0.421,between 711.0 and 775.0
MIN,AL,1988,672,91,0.34,0.421,0.2739999999999999,0,,,162,,,between 711.0 and 775.0
LAD,NL,1973,565,95,0.3229999999999999,0.371,0.263,0,,,162,,,between 652.0 and 711.0
CHW,AL,1968,527,67,0.284,0.311,0.228,0,,,162,,,less than 652.0
CHC,NL,1985,729,77,0.324,0.39,0.254,0,,,162,,,between 652.0 and 711.0
HOU,NL,1970,763,79,0.332,0.391,0.259,0,,,162,,,between 711.0 and 775.0
OAK,AL,1973,615,94,0.3329999999999999,0.389,0.26,1,3.0,1.0,162,,,between 711.0 and 775.0
MIN,AL,1968,546,79,0.299,0.35,0.237,0,,,162,,,less than 652.0
ARI,NL,2010,836,65,0.325,0.416,0.25,0,,,162,0.34,0.4479999999999999,between 711.0 and 775.0
OAK,AL,1984,796,77,0.327,0.4039999999999999,0.259,0,,,162,,,between 711.0 and 775.0
BAL,AL,2009,876,64,0.332,0.415,0.268,0,,,162,0.353,0.476,between 711.0 and 775.0
KCR,AL,1977,651,102,0.34,0.436,0.2769999999999999,1,1.0,3.0,162,,,greater than 775.0
PHI,NL,1974,701,80,0.32,0.373,0.261,0,,,162,,,between 652.0 and 711.0
PHI,NL,2001,719,86,0.3289999999999999,0.414,0.26,0,,,162,0.3289999999999999,0.424,between 711.0 and 775.0
NYM,NL,1974,646,71,0.311,0.3289999999999999,0.235,0,,,162,,,less than 652.0
DET,AL,2003,928,43,0.3,0.375,0.24,0,,,162,0.352,0.461,less than 652.0
NYM,NL,1962,948,40,0.318,0.361,0.24,0,,,161,,,less than 652.0
ATL,NL,1983,640,88,0.341,0.4,0.272,0,,,162,,,between 711.0 and 775.0
TOR,AL,2001,753,80,0.325,0.43,0.263,0,,,162,0.3389999999999999,0.435,between 711.0 and 775.0
NYM,NL,1987,698,92,0.3389999999999999,0.434,0.268,0,,,162,,,greater than 775.0
CLE,AL,1968,504,86,0.293,0.327,0.2339999999999999,0,,,162,,,less than 652.0
HOU,NL,1978,634,74,0.313,0.355,0.258,0,,,162,,,less than 652.0
SDP,NL,1992,636,82,0.313,0.386,0.255,0,,,162,,,less than 652.0
MON,NL,1993,682,94,0.326,0.386,0.257,0,,,163,,,between 711.0 and 775.0
LAD,NL,1970,684,87,0.3339999999999999,0.382,0.27,0,,,161,,,between 711.0 and 775.0
BAL,AL,2006,899,70,0.3389999999999999,0.424,0.2769999999999999,0,,,162,0.357,0.462,between 711.0 and 775.0
MIL,AL,1987,817,91,0.346,0.428,0.276,0,,,162,,,greater than 775.0
BAL,AL,1996,903,88,0.35,0.472,0.2739999999999999,1,6.0,3.0,163,,,greater than 775.0
PHI,NL,2009,709,93,0.3339999999999999,0.447,0.258,1,4.0,2.0,162,0.3289999999999999,0.427,greater than 775.0
DET,AL,2000,827,79,0.3429999999999999,0.4379999999999999,0.275,0,,,162,0.34,0.4429999999999999,greater than 775.0
WSN,NL,2005,673,81,0.322,0.386,0.252,0,,,162,0.3329999999999999,0.396,less than 652.0
CAL,AL,1984,697,81,0.319,0.381,0.249,0,,,162,,,between 652.0 and 711.0
SEA,AL,1986,835,67,0.326,0.3989999999999999,0.253,0,,,162,,,between 711.0 and 775.0
CAL,AL,1971,576,76,0.29,0.3289999999999999,0.231,0,,,162,,,less than 652.0
SFG,NL,2006,790,76,0.324,0.422,0.259,0,,,161,0.337,0.415,between 711.0 and 775.0
ATL,NL,1991,644,94,0.3279999999999999,0.3929999999999999,0.258,1,3.0,2.0,162,,,between 711.0 and 775.0
CIN,NL,1979,644,90,0.3379999999999999,0.396,0.264,1,3.0,3.0,161,,,between 711.0 and 775.0
PHI,NL,2004,781,86,0.345,0.4429999999999999,0.267,0,,,162,0.33,0.4479999999999999,greater than 775.0
HOU,NL,1973,672,82,0.312,0.376,0.251,0,,,162,,,between 652.0 and 711.0
PHI,NL,1969,745,63,0.312,0.372,0.241,0,,,162,,,less than 652.0
COL,NL,2001,906,73,0.354,0.483,0.292,0,,,162,0.35,0.48,greater than 775.0
WSA,AL,1965,721,70,0.304,0.35,0.228,0,,,162,,,less than 652.0
SEA,AL,1991,674,83,0.3279999999999999,0.3829999999999999,0.255,0,,,162,,,between 652.0 and 711.0
TEX,AL,1990,696,83,0.331,0.376,0.259,0,,,162,,,between 652.0 and 711.0
BOS,AL,2006,825,86,0.351,0.435,0.2689999999999999,0,,,162,0.3429999999999999,0.447,greater than 775.0
NYM,NL,2008,715,89,0.34,0.42,0.266,0,,,162,0.331,0.397,greater than 775.0
STL,NL,1964,652,93,0.324,0.392,0.272,1,2.0,1.0,162,,,between 711.0 and 775.0
BAL,AL,1984,667,85,0.3279999999999999,0.391,0.252,0,,,162,,,between 652.0 and 711.0
BOS,AL,1987,825,78,0.352,0.43,0.278,0,,,162,,,greater than 775.0
PHI,NL,2010,640,97,0.332,0.413,0.26,1,1.0,3.0,162,0.311,0.405,between 711.0 and 775.0
SDP,NL,1993,772,61,0.312,0.389,0.252,0,,,162,,,between 652.0 and 711.0
MIL,AL,1979,722,95,0.345,0.4479999999999999,0.28,0,,,161,,,greater than 775.0
DET,AL,1982,685,83,0.324,0.418,0.266,0,,,162,,,between 711.0 and 775.0
WSN,NL,2012,594,98,0.322,0.428,0.261,1,1.0,4.0,162,0.303,0.373,between 711.0 and 775.0
CLE,AL,1996,769,99,0.369,0.475,0.293,1,1.0,4.0,161,,,greater than 775.0
PIT,NL,1997,760,79,0.3289999999999999,0.4039999999999999,0.262,0,,,162,,,between 711.0 and 775.0
MIL,NL,2007,776,83,0.3289999999999999,0.456,0.262,0,,,162,0.3329999999999999,0.422,greater than 775.0
CLE,AL,2004,857,80,0.351,0.444,0.276,0,,,162,0.342,0.445,greater than 775.0
CIN,NL,2002,774,78,0.33,0.408,0.253,0,,,162,0.3379999999999999,0.426,between 652.0 and 711.0
CAL,AL,1996,943,70,0.3389999999999999,0.431,0.276,0,,,161,,,between 711.0 and 775.0
CLE,AL,1962,745,80,0.312,0.3879999999999999,0.245,0,,,162,,,between 652.0 and 711.0
PHI,NL,1984,690,81,0.3329999999999999,0.407,0.266,0,,,162,,,between 711.0 and 775.0
MIN,AL,2001,766,85,0.337,0.433,0.272,0,,,162,0.325,0.437,between 711.0 and 775.0
BOS,AL,2001,745,82,0.3339999999999999,0.439,0.266,0,,,161,0.3289999999999999,0.3929999999999999,between 711.0 and 775.0
MIL,NL,2003,873,68,0.3289999999999999,0.419,0.256,0,,,162,0.348,0.462,between 711.0 and 775.0
KCR,AL,1973,752,88,0.3389999999999999,0.381,0.261,0,,,162,,,between 711.0 and 775.0
CLE,AL,2009,865,65,0.3389999999999999,0.417,0.264,0,,,162,0.351,0.4429999999999999,between 711.0 and 775.0
NYY,AL,1966,612,70,0.299,0.374,0.235,0,,,160,,,less than 652.0
STL,NL,1970,747,76,0.331,0.379,0.263,0,,,162,,,between 711.0 and 775.0
PHI,NL,1975,694,86,0.342,0.402,0.2689999999999999,0,,,162,,,between 711.0 and 775.0
WSA,AL,1969,644,86,0.33,0.3779999999999999,0.251,0,,,162,,,between 652.0 and 711.0
ATL,NL,1985,781,66,0.315,0.363,0.246,0,,,162,,,less than 652.0
CIN,NL,1988,596,87,0.309,0.368,0.246,0,,,161,,,less than 652.0
BOS,AL,1979,711,91,0.344,0.456,0.283,0,,,160,,,greater than 775.0
CHC,NL,1982,709,73,0.317,0.375,0.26,0,,,162,,,between 652.0 and 711.0
DET,AL,1985,688,84,0.318,0.424,0.253,0,,,161,,,between 711.0 and 775.0
CHW,AL,2010,704,88,0.332,0.42,0.268,0,,,162,0.325,0.395,between 711.0 and 775.0
NYY,AL,1980,662,103,0.3429999999999999,0.425,0.267,1,1.0,3.0,162,,,greater than 775.0
CLE,AL,1977,739,71,0.3339999999999999,0.38,0.2689999999999999,0,,,161,,,between 652.0 and 711.0
MIL,AL,1990,760,74,0.32,0.384,0.256,0,,,162,,,between 711.0 and 775.0
BAL,AL,1967,592,76,0.31,0.372,0.24,0,,,161,,,between 652.0 and 711.0
PIT,NL,1967,693,81,0.324,0.38,0.2769999999999999,0,,,163,,,between 652.0 and 711.0
ATL,NL,2002,565,101,0.331,0.409,0.26,1,2.0,4.0,161,0.313,0.364,between 652.0 and 711.0
LAD,NL,2004,684,93,0.332,0.423,0.262,1,5.0,4.0,162,0.3229999999999999,0.408,between 711.0 and 775.0
PIT,NL,1973,693,80,0.315,0.405,0.261,0,,,162,,,between 652.0 and 711.0
MON,NL,1974,657,79,0.335,0.35,0.254,0,,,161,,,between 652.0 and 711.0
HOU,NL,2002,695,84,0.3379999999999999,0.417,0.262,0,,,162,0.33,0.41,between 711.0 and 775.0
TOR,AL,1991,622,91,0.322,0.4,0.257,1,4.0,3.0,162,,,between 652.0 and 711.0
HOU,NL,2005,609,89,0.322,0.408,0.256,1,5.0,2.0,163,0.308,0.389,between 652.0 and 711.0
TOR,AL,1997,694,76,0.31,0.389,0.244,0,,,162,,,between 652.0 and 711.0
TEX,AL,2000,974,71,0.352,0.446,0.283,0,,,162,0.369,0.475,greater than 775.0
STL,NL,2005,634,100,0.3389999999999999,0.423,0.27,1,1.0,3.0,162,0.318,0.3979999999999999,greater than 775.0
PHI,NL,1963,578,87,0.306,0.381,0.252,0,,,162,,,less than 652.0
NYY,AL,1978,582,100,0.3289999999999999,0.3879999999999999,0.267,1,1.0,1.0,163,,,between 711.0 and 775.0
CHC,NL,2002,759,67,0.321,0.413,0.246,0,,,162,0.331,0.407,between 652.0 and 711.0
PIT,NL,1982,696,84,0.327,0.408,0.273,0,,,162,,,between 711.0 and 775.0
STL,NL,1975,689,82,0.327,0.375,0.273,0,,,163,,,between 652.0 and 711.0
COL,NL,2004,923,68,0.345,0.455,0.275,0,,,162,0.372,0.471,greater than 775.0
ATL,NL,1973,774,76,0.3389999999999999,0.427,0.266,0,,,162,,,greater than 775.0
HOU,NL,2010,729,76,0.303,0.362,0.247,0,,,162,0.33,0.402,less than 652.0
CHC,NL,2009,672,83,0.332,0.407,0.255,0,,,161,0.324,0.391,between 652.0 and 711.0
