sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
F,0.5,0.38,0.155,0.655,0.2405,0.143,0.205,greater than 11.0
M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,less than 8.0
M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,greater than 11.0
M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,greater than 11.0
F,0.645,0.51,0.18,1.6195,0.7815,0.322,0.4675,greater than 11.0
F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,between 9.0 and 11.0
M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,greater than 11.0
M,0.59,0.47,0.18,1.187,0.5985,0.227,0.31,between 9.0 and 11.0
I,0.485,0.355,0.13,0.581,0.245,0.132,0.168,greater than 11.0
I,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,between 9.0 and 11.0
I,0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,less than 8.0
I,0.335,0.25,0.08,0.167,0.0675,0.0325,0.0575,less than 8.0
I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,less than 8.0
I,0.375,0.29,0.14,0.3,0.14,0.0625,0.0825,between 8.0 and 9.0
M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,between 8.0 and 9.0
M,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,between 9.0 and 11.0
F,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,greater than 11.0
M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,greater than 11.0
I,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,less than 8.0
F,0.605,0.495,0.19,1.437,0.469,0.2655,0.41,greater than 11.0
M,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,between 9.0 and 11.0
I,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,between 8.0 and 9.0
M,0.7,0.555,0.2,1.858,0.73,0.3665,0.595,greater than 11.0
I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,less than 8.0
F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,greater than 11.0
I,0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,less than 8.0
I,0.54,0.425,0.14,0.742,0.32,0.1395,0.25,between 9.0 and 11.0
I,0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,greater than 11.0
F,0.54,0.475,0.155,0.928,0.394,0.194,0.26,greater than 11.0
F,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,between 9.0 and 11.0
I,0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,between 8.0 and 9.0
M,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,between 9.0 and 11.0
F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,between 9.0 and 11.0
I,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,between 9.0 and 11.0
M,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,greater than 11.0
