school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3,GP,F,16,U,GT3,T,3,2,services,other,course,mother,2.1,2.2,0,no,yes,no.1,yes.1,yes.2,yes.3,yes.4,no.2,4,2.3,2.4,1,1.1,2.5,0.1,between 12.0 and 14.0
GP,M,18.0,U,LE3,T,4.0,4.0,other,other,reputation,father,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,5.0,3.0,4.0,5.0,2,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,18.0,U,LE3,T,1.0,3.0,at_home,services,course,mother,1.0,1.0,0.0,no,no,no,no,yes,no,yes,yes,4.0,3.0,3.0,2.0,3.0,3.0,0,less than 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,16.0,U,LE3,T,1.0,1.0,services,other,course,mother,1.0,2.0,2.0,no,no,no,no,yes,yes,no,yes,4.0,4.0,4.0,1.0,3.0,5.0,0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,17.0,R,LE3,T,1.0,3.0,other,other,course,father,2.0,1.0,0.0,no,no,no,yes,yes,yes,no,yes,5.0,1.0,2.0,3.0,3.0,5.0,2,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,18.0,U,LE3,T,4.0,3.0,health,services,course,mother,2.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,3.0,2.0,4.0,1.0,4.0,1.0,8,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,18.0,U,GT3,T,1.0,4.0,other,teacher,home,mother,1.0,2.0,0.0,yes,yes,no,no,no,yes,no,yes,3.0,4.0,4.0,1.0,2.0,5.0,2,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,17.0,U,LE3,T,4.0,4.0,teacher,other,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,4.0,4.0,1.0,3.0,5.0,0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,21.0,U,LE3,T,4.0,4.0,other,other,reputation,other,1.0,3.0,2.0,no,no,yes,yes,yes,yes,yes,no,3.0,3.0,2.0,1.0,1.0,5.0,0,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,16.0,R,GT3,T,1.0,2.0,other,other,home,father,1.0,3.0,0.0,yes,yes,no,no,no,yes,yes,yes,4.0,3.0,4.0,1.0,1.0,3.0,5,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,17.0,U,GT3,T,3.0,3.0,at_home,other,course,mother,1.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,2.0,5.0,2.0,5.0,5.0,2,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,18.0,U,GT3,T,3.0,2.0,services,other,home,mother,1.0,2.0,0.0,no,yes,no,yes,no,yes,yes,yes,3.0,1.0,2.0,1.0,2.0,1.0,4,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,16.0,U,LE3,T,2.0,1.0,at_home,other,course,mother,1.0,1.0,1.0,no,no,no,yes,yes,yes,no,yes,4.0,4.0,4.0,3.0,5.0,5.0,6,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,17.0,R,GT3,T,1.0,1.0,at_home,at_home,course,father,2.0,1.0,0.0,no,yes,no,yes,yes,no,yes,yes,3.0,5.0,5.0,2.0,2.0,4.0,3,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,18.0,R,LE3,T,4.0,1.0,services,services,home,father,1.0,1.0,0.0,yes,yes,yes,yes,yes,yes,yes,5,1.0,1.0,1.0,5.0,5.0,4.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,17.0,U,GT3,T,2.0,4.0,at_home,other,home,other,3.0,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,4,4.0,5.0,4.0,1.0,1.0,8.0,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,17.0,U,LE3,T,1.0,2.0,services,services,course,mother,1.0,2.0,1.0,no,yes,yes,yes,yes,yes,yes,5,3.0,3.0,5.0,3.0,5.0,6.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,18.0,U,LE3,T,1.0,3.0,at_home,at_home,course,mother,2.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,4,3.0,2.0,1.0,4.0,3.0,9.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,16.0,R,GT3,T,3.0,2.0,at_home,other,reputation,father,1.0,1.0,1.0,yes,yes,yes,yes,yes,yes,yes,3,2.0,5.0,2.0,2.0,5.0,1.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,18.0,R,LE3,T,4.0,1.0,at_home,services,home,father,2.0,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,5,4.0,1.0,5.0,4.0,1.0,6.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,17.0,U,LE3,T,2.0,2.0,other,services,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,5.0,0,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,16.0,U,GT3,T,3.0,3.0,services,at_home,home,father,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,4.0,2.0,1.0,1.0,4.0,2,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,18.0,R,LE3,A,4.0,1.0,teacher,other,other,mother,1.0,3.0,3.0,no,no,no,no,yes,yes,yes,yes,5.0,4.0,5.0,2.0,3.0,4.0,1,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,17.0,U,GT3,T,1.0,1.0,services,services,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,3.0,3.0,4.0,1.0,1.0,3.0,16,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,16.0,U,LE3,T,2.0,2.0,at_home,at_home,course,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,2.0,3.0,1.0,2.0,3.0,14,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,18.0,U,LE3,T,3.0,3.0,other,services,home,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,3.0,3.0,2.0,2.0,2.0,4,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,17.0,U,GT3,T,4.0,4.0,services,services,other,mother,1.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,5.0,5.0,5.0,5.0,4.0,0,less than 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,15.0,U,GT3,T,2.0,1.0,other,other,course,father,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,5.0,4.0,1.0,1.0,1.0,1.0,0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,18.0,U,GT3,A,2.0,2.0,services,services,home,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,3.0,3.0,1.0,1.0,3.0,0,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,17.0,R,GT3,T,1.0,1.0,at_home,services,course,mother,3.0,2.0,0.0,no,no,no,yes,yes,yes,no,no,2.0,1.0,1.0,1.0,1.0,3.0,2,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,17.0,U,LE3,T,4.0,2.0,teacher,services,reputation,mother,1.0,4.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,2.0,3.0,1.0,1.0,4.0,2,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,16.0,U,LE3,T,2.0,2.0,other,other,home,mother,2.0,2.0,0.0,no,yes,no,yes,no,yes,yes,yes,3.0,3.0,3.0,1.0,2.0,3.0,16,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,16.0,U,GT3,T,3.0,3.0,services,services,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,3.0,4.0,2.0,3.0,4.0,6,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,19.0,U,GT3,T,1.0,1.0,other,other,course,other,2.0,2.0,1.0,no,yes,no,no,yes,yes,yes,yes,1.0,1.0,4.0,4.0,1.0,1.0,12,less than 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,16.0,U,GT3,T,2.0,1.0,other,other,home,mother,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,4,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,17.0,U,GT3,T,4.0,3.0,other,other,reputation,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,yes,3.0,4.0,5.0,2.0,4.0,1.0,16,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,17.0,R,GT3,T,2.0,2.0,services,other,course,mother,4.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,5.0,5.0,5.0,4.0,2,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,15.0,U,LE3,A,2.0,1.0,services,other,course,mother,4.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,5.0,5.0,2.0,5.0,5.0,0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,15.0,U,GT3,T,2.0,2.0,services,services,course,father,1.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,no,5.0,4.0,1.0,1.0,1.0,1.0,0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,18.0,U,LE3,T,1.0,1.0,other,other,home,mother,2.0,2.0,0.0,no,yes,no,no,no,yes,no,no,4.0,4.0,3.0,1.0,1.0,3.0,2,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,17.0,R,GT3,T,2.0,1.0,at_home,services,course,mother,3.0,2.0,0.0,no,no,no,yes,yes,yes,no,no,2.0,1.0,1.0,1.0,1.0,3.0,2,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,17.0,U,LE3,T,4.0,4.0,services,other,home,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,yes,5.0,3.0,5.0,4.0,5.0,3.0,15,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,16.0,U,GT3,T,4.0,4.0,services,services,course,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,3.0,5.0,0,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,15.0,U,GT3,T,2.0,1.0,services,other,reputation,father,3.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,0,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,18.0,U,GT3,T,4.0,3.0,teacher,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,3.0,2.0,1.0,1.0,3.0,2,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,18.0,U,GT3,T,4.0,4.0,teacher,services,home,father,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,2.0,2.0,0,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,16.0,U,GT3,A,2.0,2.0,other,other,home,mother,1.0,1.0,1.0,no,no,no,no,yes,yes,no,no,5.0,3.0,4.0,1.0,1.0,5.0,12,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,17.0,U,GT3,T,3.0,3.0,other,other,home,mother,1.0,3.0,0.0,no,no,no,yes,no,yes,no,no,3.0,2.0,3.0,1.0,1.0,4.0,2,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,18.0,U,GT3,T,2.0,1.0,services,other,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,4,3.0,3.0,1.0,2.0,4.0,0.0,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,19.0,R,LE3,A,1.0,2.0,at_home,services,home,mother,2.0,1.0,3.0,no,no,no,yes,no,yes,yes,5,4.0,2.0,1.0,3.0,4.0,6.0,less than 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,16.0,U,GT3,T,4.0,3.0,other,other,reputation,mother,1.0,4.0,0.0,no,yes,no,yes,yes,yes,yes,4,3.0,1.0,1.0,2.0,5.0,0.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,17.0,U,GT3,T,3.0,4.0,services,other,other,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,5,3.0,4.0,3.0,4.0,1.0,9.0,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,15.0,U,GT3,T,2.0,1.0,other,services,course,father,3.0,1.0,0.0,no,no,no,yes,yes,yes,yes,4,2.0,5.0,1.0,1.0,5.0,7.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,18.0,U,GT3,T,4.0,2.0,other,other,course,mother,2.0,1.0,0.0,yes,no,no,yes,yes,yes,yes,no,5.0,5.0,5.0,1.0,4.0,1.0,3,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,16.0,U,GT3,T,1.0,3.0,services,teacher,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,4,3.0,3.0,1.0,2.0,3.0,0.0,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,19.0,U,GT3,A,3.0,1.0,other,other,course,other,1.0,4.0,0.0,no,no,no,yes,yes,yes,yes,yes,3.0,5.0,4.0,1.0,1.0,3.0,0,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,17.0,U,GT3,T,3.0,3.0,other,services,home,mother,2.0,2.0,0.0,no,no,no,yes,yes,yes,yes,yes,4.0,4.0,2.0,1.0,1.0,5.0,5,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,20.0,R,GT3,T,4.0,4.0,teacher,services,course,father,2.0,1.0,3.0,no,yes,no,yes,yes,yes,yes,4,4.0,4.0,1.0,1.0,2.0,8.0,less than 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,16.0,U,GT3,T,3.0,2.0,services,other,course,mother,1.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,5,3.0,2.0,1.0,2.0,4.0,0.0,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,18.0,U,LE3,T,1.0,1.0,at_home,at_home,course,mother,1.0,4.0,0.0,no,yes,no,yes,yes,yes,yes,3,5.0,1.0,1.0,4.0,2.0,6.0,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,16.0,U,GT3,T,4.0,3.0,other,other,course,mother,3.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,4,2.0,3.0,1.0,2.0,5.0,0.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,17.0,R,LE3,T,2.0,3.0,at_home,services,course,mother,1.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,5,3.0,2.0,1.0,3.0,5.0,4.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,15.0,U,GT3,T,2.0,1.0,services,services,course,father,1.0,4.0,0.0,yes,yes,no,yes,yes,yes,yes,5,4.0,3.0,1.0,2.0,3.0,9.0,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,17.0,U,GT3,T,3.0,4.0,other,other,course,father,2.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,4,5.0,5.0,1.0,2.0,3.0,0.0,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,18.0,R,LE3,A,3.0,2.0,at_home,services,home,mother,1.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,yes,4.0,5.0,4.0,1.0,3.0,2.0,0,less than 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,19.0,U,GT3,T,4.0,4.0,other,teacher,course,mother,2.0,2.0,3.0,yes,yes,no,yes,yes,yes,yes,4,3.0,1.0,1.0,2.0,4.0,7.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,17.0,U,GT3,T,3.0,3.0,other,other,course,other,2.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,yes,5.0,3.0,4.0,1.0,1.0,3.0,4,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,19.0,U,GT3,T,3.0,4.0,teacher,services,course,mother,1.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,yes,3.0,4.0,4.0,1.0,2.0,3.0,9,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,20.0,R,LE3,T,4.0,3.0,services,other,course,father,2.0,4.0,0.0,no,yes,no,yes,yes,yes,yes,4,4.0,5.0,1.0,2.0,1.0,0.0,less than 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,15.0,U,LE3,A,2.0,1.0,at_home,at_home,course,mother,1.0,4.0,3.0,yes,yes,no,yes,yes,yes,yes,yes,4.0,4.0,2.0,1.0,4.0,3.0,6,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,18.0,U,GT3,T,3.0,1.0,other,other,course,mother,2.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,yes,4.0,3.0,1.0,1.0,1.0,4.0,9,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,19.0,U,GT3,T,2.0,2.0,other,services,course,mother,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,5,4.0,4.0,1.0,3.0,1.0,8.0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,17.0,R,GT3,T,4.0,4.0,other,other,course,mother,3.0,1.0,3.0,yes,yes,no,yes,yes,yes,yes,4,5.0,2.0,1.0,2.0,3.0,0.0,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,16.0,U,GT3,T,1.0,3.0,services,other,course,father,2.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,yes,3.0,5.0,1.0,1.0,1.0,5.0,4,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,16.0,U,GT3,T,2.0,2.0,services,other,course,mother,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,yes,5.0,5.0,2.0,1.0,3.0,4.0,9,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,20.0,U,GT3,A,1.0,3.0,other,other,course,other,2.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,yes,4.0,3.0,3.0,1.0,4.0,4.0,7,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,17.0,U,GT3,T,3.0,3.0,other,services,home,father,2.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,yes,5.0,3.0,2.0,1.0,3.0,3.0,0,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,19.0,U,GT3,T,4.0,4.0,services,teacher,course,mother,2.0,2.0,3.0,yes,yes,no,yes,yes,yes,yes,yes,3.0,3.0,1.0,1.0,2.0,4.0,6,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,16.0,U,GT3,T,3.0,1.0,other,other,course,mother,3.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,yes,5.0,3.0,1.0,1.0,1.0,3.0,8,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,18.0,U,GT3,T,4.0,2.0,other,other,course,mother,2.0,4.0,0.0,yes,yes,no,yes,yes,yes,yes,yes,4.0,5.0,3.0,1.0,1.0,2.0,4,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,16.0,R,GT3,T,2.0,2.0,other,other,course,mother,2.0,2.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,2.0,2.0,1.0,1.0,3.0,0,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,M,18.0,U,LE3,T,1.0,2.0,at_home,services,home,mother,2.0,1.0,0.0,no,yes,no,no,no,yes,no,no,4.0,1.0,4.0,1.0,1.0,2.0,6,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,17.0,U,GT3,T,3.0,3.0,services,other,reputation,father,1.0,3.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,1.0,2.0,1.0,1.0,2.0,4,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,16.0,R,GT3,T,2.0,3.0,at_home,other,course,mother,3.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,3.0,3.0,3.0,1.0,1.0,2.0,0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,F,20.0,R,GT3,T,1.0,1.0,other,other,reputation,other,2.0,3.0,0.0,no,no,no,no,yes,yes,yes,yes,3.0,2.0,2.0,1.0,3.0,3.0,8,greater than 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,18.0,U,LE3,A,3.0,2.0,other,other,course,other,2.0,3.0,2.0,no,yes,no,no,no,no,no,yes,3.0,3.0,2.0,1.0,1.0,2.0,6,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,M,18.0,U,GT3,T,4.0,4.0,teacher,services,home,mother,2.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,3.0,2.0,4.0,1.0,4.0,3.0,6,between 12.0 and 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,F,17.0,R,GT3,T,0.0,0.0,at_home,other,course,mother,2.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,3.0,1.0,1.0,5.0,0,between 10.0 and 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
