fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Professional_Self-Employed,Farm_Laborer,nonintact,black,0.0,less than 0.6
Service_Worker,Clerk,nonintact,white,40.7,greater than 14.6
Farm_Laborer,Farm_Laborer,nonintact,white,46.2,between 3.3 and 14.6
Professional-Salaried,Service_Worker,intact,white,24.8,greater than 14.6
Craftsmen-Other,Craftsman-Manufacturing,intact,white,58.2,greater than 14.6
Salesman-Nonretail,Craftsman-Construction,nonintact,black,0.0,less than 0.6
Proprietor,Salesman-Retail,intact,white,76.1,greater than 14.6
Farm_Laborer,Craftsmen-Other,intact,black,2.8,between 3.3 and 14.6
Salesman-Nonretail,Craftsmen-Other,nonintact,black,0.0,less than 0.6
Clerk,Proprietor,nonintact,black,0.0,less than 0.6
Proprietor,Professional_Self-Employed,nonintact,black,0.0,less than 0.6
Professional-Salaried,Salesman-Nonretail,intact,black,0.9,between 0.6 and 3.3
Craftsman-Manufacturing,Craftsmen-Other,intact,black,0.6,between 0.6 and 3.3
Clerk,Farmer/Farm_Manager,intact,white,2.3,between 0.6 and 3.3
Professional-Salaried,Craftsman-Construction,nonintact,white,1.5,between 3.3 and 14.6
Operative-Manufacturing,Laborer-Manufacturing,nonintact,black,6.2,between 0.6 and 3.3
Professional-Salaried,Professional_Self-Employed,intact,white,7.3,greater than 14.6
Operative-Nonmanufacturing,Professional-Salaried,intact,white,117.0,greater than 14.6
Manager,Laborer-Nonmanufacturing,intact,black,1.2,between 0.6 and 3.3
Clerk,Operative-Nonmanufacturing,intact,black,2.9,between 0.6 and 3.3
Operative-Nonmanufacturing,Craftsmen-Other,intact,white,84.8,greater than 14.6
Operative-Nonmanufacturing,Salesman-Retail,intact,white,58.0,greater than 14.6
Service_Worker,Service_Worker,nonintact,black,44.8,greater than 14.6
Service_Worker,Professional_Self-Employed,nonintact,black,0.0,between 0.6 and 3.3
Craftsman-Construction,Farmer/Farm_Manager,nonintact,black,0.0,less than 0.6
Craftsman-Construction,Craftsman-Manufacturing,intact,black,1.1,between 0.6 and 3.3
Farmer/Farm_Manager,Professional_Self-Employed,intact,black,0.0,less than 0.6
Laborer-Nonmanufacturing,Farmer/Farm_Manager,intact,black,0.7,less than 0.6
Clerk,Craftsman-Construction,intact,black,0.0,between 0.6 and 3.3
Craftsmen-Other,Proprietor,nonintact,black,0.0,less than 0.6
Operative-Manufacturing,Craftsman-Manufacturing,intact,white,87.4,greater than 14.6
Craftsman-Construction,Operative-Manufacturing,intact,black,10.5,between 3.3 and 14.6
Professional_Self-Employed,Service_Worker,nonintact,black,0.0,less than 0.6
Craftsman-Manufacturing,Clerk,nonintact,white,9.6,between 3.3 and 14.6
Professional_Self-Employed,Laborer-Manufacturing,intact,white,2.4,between 0.6 and 3.3
Laborer-Manufacturing,Operative-Manufacturing,intact,black,14.0,greater than 14.6
Craftsman-Manufacturing,Clerk,nonintact,black,0.5,less than 0.6
Craftsman-Construction,Craftsman-Manufacturing,intact,white,45.7,greater than 14.6
Laborer-Nonmanufacturing,Laborer-Manufacturing,nonintact,white,2.4,less than 0.6
Salesman-Retail,Manager,intact,black,0.0,less than 0.6
Proprietor,Proprietor,intact,black,0.5,less than 0.6
Craftsmen-Other,Operative-Nonmanufacturing,intact,black,8.4,between 3.3 and 14.6
Salesman-Nonretail,Clerk,nonintact,white,3.2,between 0.6 and 3.3
Laborer-Nonmanufacturing,Professional_Self-Employed,intact,black,0.0,less than 0.6
Proprietor,Service_Worker,intact,black,2.0,between 0.6 and 3.3
Farmer/Farm_Manager,Laborer-Manufacturing,intact,white,89.1,greater than 14.6
Craftsman-Manufacturing,Service_Worker,nonintact,white,4.8,between 3.3 and 14.6
Craftsmen-Other,Farm_Laborer,nonintact,white,5.0,between 0.6 and 3.3
Salesman-Retail,Craftsman-Construction,nonintact,white,2.3,between 0.6 and 3.3
Salesman-Retail,Proprietor,nonintact,black,0.0,less than 0.6
Service_Worker,Craftsmen-Other,intact,black,5.4,between 3.3 and 14.6
Operative-Nonmanufacturing,Farm_Laborer,nonintact,white,7.1,between 0.6 and 3.3
Craftsmen-Other,Professional-Salaried,nonintact,black,0.0,between 0.6 and 3.3
Service_Worker,Farm_Laborer,nonintact,white,18.9,between 0.6 and 3.3
Craftsman-Manufacturing,Laborer-Manufacturing,intact,black,3.7,between 0.6 and 3.3
Professional-Salaried,Proprietor,nonintact,white,0.8,between 0.6 and 3.3
Laborer-Nonmanufacturing,Farm_Laborer,intact,black,7.6,between 0.6 and 3.3
Farm_Laborer,Service_Worker,intact,black,11.2,greater than 14.6
Service_Worker,Laborer-Manufacturing,intact,black,3.7,between 3.3 and 14.6
Craftsman-Manufacturing,Operative-Nonmanufacturing,nonintact,white,9.2,between 3.3 and 14.6
