fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Professional-Salaried,Laborer-Nonmanufacturing,intact,black,0.9,between 0.6 and 3.3
Laborer-Nonmanufacturing,Laborer-Nonmanufacturing,nonintact,white,15.0,between 3.3 and 14.6
Craftsman-Construction,Farmer/Farm_Manager,nonintact,black,0.0,less than 0.6
Craftsman-Manufacturing,Craftsman-Manufacturing,intact,black,1.5,between 3.3 and 14.6
Salesman-Nonretail,Proprietor,nonintact,black,0.0,less than 0.6
Laborer-Manufacturing,Professional-Salaried,intact,black,6.3,between 3.3 and 14.6
Operative-Manufacturing,Salesman-Nonretail,nonintact,white,5.6,between 3.3 and 14.6
Salesman-Retail,Farmer/Farm_Manager,intact,white,2.9,between 0.6 and 3.3
Craftsmen-Other,Operative-Nonmanufacturing,intact,black,8.4,between 3.3 and 14.6
Professional_Self-Employed,Farmer/Farm_Manager,intact,white,1.4,between 0.6 and 3.3
Craftsmen-Other,Farm_Laborer,intact,white,26.9,between 3.3 and 14.6
Proprietor,Operative-Nonmanufacturing,nonintact,black,0.0,between 0.6 and 3.3
Proprietor,Farmer/Farm_Manager,nonintact,white,0.4,between 0.6 and 3.3
Proprietor,Service_Worker,intact,black,2.0,between 0.6 and 3.3
Craftsman-Construction,Farm_Laborer,intact,white,33.1,between 3.3 and 14.6
Manager,Craftsman-Construction,nonintact,white,1.6,between 3.3 and 14.6
Craftsman-Manufacturing,Proprietor,intact,white,2.3,greater than 14.6
Salesman-Nonretail,Craftsman-Construction,intact,white,6.1,between 3.3 and 14.6
Operative-Manufacturing,Proprietor,nonintact,black,0.0,less than 0.6
Farmer/Farm_Manager,Craftsmen-Other,nonintact,black,2.7,between 3.3 and 14.6
Laborer-Manufacturing,Salesman-Retail,intact,black,0.8,between 0.6 and 3.3
Professional_Self-Employed,Laborer-Manufacturing,intact,white,2.4,between 0.6 and 3.3
Professional_Self-Employed,Farm_Laborer,nonintact,black,0.0,less than 0.6
Service_Worker,Operative-Nonmanufacturing,intact,white,55.9,greater than 14.6
Manager,Farm_Laborer,intact,black,0.0,less than 0.6
Operative-Nonmanufacturing,Salesman-Retail,nonintact,white,8.4,between 0.6 and 3.3
Laborer-Manufacturing,Farm_Laborer,intact,black,6.0,between 0.6 and 3.3
Operative-Nonmanufacturing,Operative-Nonmanufacturing,intact,black,20.4,greater than 14.6
Manager,Manager,intact,black,0.0,between 0.6 and 3.3
Professional_Self-Employed,Operative-Manufacturing,nonintact,white,1.9,less than 0.6
Operative-Manufacturing,Professional_Self-Employed,nonintact,white,1.6,between 0.6 and 3.3
Laborer-Manufacturing,Service_Worker,nonintact,white,2.5,between 0.6 and 3.3
Professional-Salaried,Proprietor,intact,black,0.0,less than 0.6
Laborer-Manufacturing,Clerk,intact,white,27.9,greater than 14.6
Proprietor,Professional_Self-Employed,nonintact,white,1.5,between 0.6 and 3.3
Operative-Nonmanufacturing,Farmer/Farm_Manager,nonintact,white,1.7,between 0.6 and 3.3
Salesman-Retail,Clerk,nonintact,white,11.4,between 3.3 and 14.6
Craftsmen-Other,Salesman-Retail,intact,white,48.5,greater than 14.6
Professional_Self-Employed,Craftsman-Construction,intact,white,6.8,between 3.3 and 14.6
Salesman-Retail,Professional-Salaried,nonintact,white,16.2,between 3.3 and 14.6
Operative-Manufacturing,Manager,nonintact,white,8.0,greater than 14.6
Service_Worker,Salesman-Nonretail,intact,white,17.7,greater than 14.6
Craftsman-Construction,Farmer/Farm_Manager,intact,black,0.0,less than 0.6
Craftsman-Manufacturing,Laborer-Manufacturing,nonintact,black,0.5,less than 0.6
Manager,Craftsman-Construction,intact,black,0.0,less than 0.6
Professional_Self-Employed,Farm_Laborer,nonintact,white,0.0,less than 0.6
Clerk,Farmer/Farm_Manager,intact,white,2.3,between 0.6 and 3.3
Craftsmen-Other,Operative-Manufacturing,nonintact,black,1.5,between 0.6 and 3.3
Service_Worker,Proprietor,nonintact,white,0.9,between 3.3 and 14.6
Salesman-Nonretail,Craftsmen-Other,nonintact,black,0.0,less than 0.6
Craftsman-Manufacturing,Professional_Self-Employed,nonintact,black,0.0,less than 0.6
Craftsman-Construction,Clerk,nonintact,black,0.0,less than 0.6
Craftsman-Manufacturing,Craftsmen-Other,intact,black,0.6,between 0.6 and 3.3
Manager,Operative-Manufacturing,nonintact,black,0.9,less than 0.6
Operative-Nonmanufacturing,Clerk,nonintact,white,19.5,between 3.3 and 14.6
Laborer-Manufacturing,Clerk,intact,black,7.8,between 3.3 and 14.6
Professional-Salaried,Laborer-Manufacturing,nonintact,black,1.0,less than 0.6
Laborer-Manufacturing,Laborer-Manufacturing,nonintact,black,1.0,between 0.6 and 3.3
Operative-Manufacturing,Farmer/Farm_Manager,nonintact,black,0.0,less than 0.6
Craftsmen-Other,Service_Worker,nonintact,black,1.9,between 0.6 and 3.3
Professional_Self-Employed,Salesman-Retail,nonintact,black,0.0,less than 0.6
Craftsman-Manufacturing,Craftsmen-Other,nonintact,black,0.0,between 0.6 and 3.3
Manager,Clerk,nonintact,black,0.6,between 0.6 and 3.3
Laborer-Manufacturing,Farmer/Farm_Manager,nonintact,white,0.0,less than 0.6
Salesman-Nonretail,Craftsman-Construction,nonintact,black,0.0,less than 0.6
Laborer-Manufacturing,Salesman-Nonretail,intact,black,0.5,less than 0.6
Craftsmen-Other,Operative-Manufacturing,intact,black,9.3,between 3.3 and 14.6
Manager,Operative-Nonmanufacturing,intact,black,0.5,between 0.6 and 3.3
Craftsman-Manufacturing,Craftsman-Manufacturing,nonintact,white,7.0,between 3.3 and 14.6
Professional_Self-Employed,Operative-Nonmanufacturing,intact,black,0.0,between 0.6 and 3.3
Salesman-Nonretail,Professional-Salaried,nonintact,black,0.0,less than 0.6
Clerk,Salesman-Retail,intact,white,27.3,between 3.3 and 14.6
Farmer/Farm_Manager,Clerk,intact,black,12.2,greater than 14.6
Operative-Manufacturing,Manager,intact,white,26.6,greater than 14.6
Farm_Laborer,Service_Worker,nonintact,black,4.6,between 3.3 and 14.6
Salesman-Nonretail,Operative-Nonmanufacturing,nonintact,black,0.0,less than 0.6
Farm_Laborer,Professional-Salaried,intact,black,2.9,between 3.3 and 14.6
Farmer/Farm_Manager,Salesman-Retail,nonintact,black,1.4,less than 0.6
Salesman-Nonretail,Craftsmen-Other,intact,black,0.0,between 0.6 and 3.3
Craftsmen-Other,Farmer/Farm_Manager,nonintact,white,0.0,between 0.6 and 3.3
Salesman-Retail,Professional_Self-Employed,nonintact,white,0.0,less than 0.6
Salesman-Retail,Laborer-Manufacturing,nonintact,white,1.6,between 0.6 and 3.3
Proprietor,Operative-Nonmanufacturing,intact,white,59.7,greater than 14.6
Operative-Manufacturing,Farm_Laborer,intact,black,1.5,less than 0.6
Laborer-Nonmanufacturing,Laborer-Manufacturing,intact,black,11.2,between 3.3 and 14.6
Salesman-Retail,Operative-Nonmanufacturing,intact,black,0.5,less than 0.6
Manager,Manager,nonintact,white,1.5,greater than 14.6
Laborer-Manufacturing,Craftsmen-Other,intact,black,1.4,between 3.3 and 14.6
Professional_Self-Employed,Craftsman-Manufacturing,intact,black,0.0,less than 0.6
