sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
I,0.485,0.375,0.135,0.6235,0.2645,0.1515,0.193,between 9.0 and 11.0
I,0.305,0.235,0.075,0.1765,0.0735,0.041,0.055,less than 8.0
M,0.625,0.49,0.165,1.2265,0.5425,0.3015,0.335,between 9.0 and 11.0
M,0.535,0.42,0.155,0.902,0.4065,0.2215,0.276,greater than 11.0
I,0.59,0.465,0.165,1.032,0.461,0.2695,0.278,greater than 11.0
M,0.555,0.435,0.155,0.93,0.419,0.235,0.255,between 9.0 and 11.0
I,0.525,0.415,0.14,0.8155,0.3695,0.208,0.238,between 8.0 and 9.0
F,0.715,0.58,0.2,1.66,0.755,0.4075,0.41,greater than 11.0
F,0.615,0.495,0.175,1.246,0.5445,0.3165,0.325,greater than 11.0
I,0.475,0.36,0.125,0.576,0.2535,0.1315,0.178,greater than 11.0
I,0.41,0.31,0.1,0.33,0.146,0.0755,0.096,less than 8.0
I,0.495,0.39,0.14,0.6925,0.2995,0.1815,0.204,between 8.0 and 9.0
I,0.61,0.485,0.17,1.143,0.515,0.2925,0.293,greater than 11.0
F,0.49,0.39,0.14,0.749,0.329,0.205,0.209,between 9.0 and 11.0
M,0.5,0.395,0.145,0.7365,0.322,0.2145,0.198,greater than 11.0
F,0.63,0.495,0.165,1.144,0.5025,0.266,0.294,greater than 11.0
F,0.64,0.51,0.17,1.234,0.548,0.2945,0.305,greater than 11.0
M,0.575,0.455,0.155,1.0285,0.4565,0.259,0.288,between 9.0 and 11.0
M,0.67,0.535,0.185,1.4935,0.673,0.3875,0.399,greater than 11.0
I,0.54,0.425,0.145,0.793,0.3595,0.2075,0.226,greater than 11.0
M,0.63,0.49,0.185,1.417,0.617,0.2835,0.361,between 9.0 and 11.0
F,0.52,0.42,0.14,0.7175,0.305,0.184,0.2285,between 8.0 and 9.0
I,0.585,0.455,0.16,1.056,0.4645,0.2355,0.2765,greater than 11.0
M,0.475,0.375,0.125,0.555,0.2455,0.136,0.174,less than 8.0
F,0.71,0.57,0.205,1.9685,0.844,0.4285,0.52,greater than 11.0
I,0.415,0.325,0.11,0.3655,0.1595,0.0825,0.126,between 9.0 and 11.0
M,0.535,0.43,0.145,0.755,0.335,0.1925,0.2295,between 9.0 and 11.0
F,0.645,0.51,0.175,1.4575,0.66,0.3135,0.354,between 9.0 and 11.0
I,0.565,0.44,0.155,0.8515,0.374,0.2095,0.2555,greater than 11.0
M,0.625,0.485,0.165,1.2455,0.5755,0.274,0.309,greater than 11.0
F,0.55,0.435,0.14,0.8165,0.3755,0.198,0.2455,between 9.0 and 11.0
I,0.495,0.39,0.125,0.5715,0.2785,0.1435,0.186,between 9.0 and 11.0
M,0.575,0.465,0.16,1.018,0.468,0.252,0.2875,greater than 11.0
F,0.475,0.375,0.115,0.5255,0.225,0.1215,0.1635,less than 8.0
I,0.61,0.485,0.17,1.149,0.5415,0.261,0.2975,greater than 11.0
M,0.52,0.41,0.14,0.7425,0.3495,0.186,0.224,greater than 11.0
F,0.69,0.55,0.195,1.8455,0.82,0.42,0.5165,greater than 11.0
I,0.36,0.29,0.105,0.2435,0.1045,0.061,0.0815,less than 8.0
M,0.59,0.465,0.155,1.0525,0.502,0.242,0.2785,greater than 11.0
F,0.505,0.405,0.13,0.6435,0.2965,0.156,0.202,greater than 11.0
I,0.665,0.53,0.185,1.4365,0.6365,0.3065,0.3665,between 9.0 and 11.0
M,0.565,0.44,0.145,0.86,0.394,0.207,0.258,greater than 11.0
F,0.62,0.485,0.165,1.149,0.5395,0.2565,0.2945,between 9.0 and 11.0
I,0.49,0.395,0.12,0.543,0.2555,0.1325,0.1655,between 8.0 and 9.0
M,0.505,0.395,0.14,0.7545,0.359,0.196,0.24,greater than 11.0
F,0.63,0.515,0.185,1.2535,0.5875,0.2945,0.3335,greater than 11.0
I,0.43,0.335,0.115,0.3845,0.167,0.0945,0.123,between 8.0 and 9.0
M,0.575,0.46,0.16,1.0115,0.4695,0.2475,0.277,between 9.0 and 11.0
F,0.59,0.475,0.165,1.067,0.5035,0.255,0.3055,greater than 11.0
I,0.535,0.425,0.135,0.696,0.325,0.1655,0.2175,greater than 11.0
M,0.46,0.365,0.12,0.513,0.2395,0.1265,0.1575,between 8.0 and 9.0
F,0.65,0.53,0.185,1.5125,0.6885,0.334,0.4085,greater than 11.0
I,0.525,0.415,0.135,0.7295,0.3365,0.176,0.2235,greater than 11.0
M,0.63,0.505,0.175,1.294,0.59,0.297,0.3445,between 9.0 and 11.0
F,0.56,0.44,0.14,0.8355,0.3935,0.2015,0.2515,greater than 11.0
I,0.485,0.38,0.125,0.5555,0.2545,0.136,0.1765,greater than 11.0
M,0.49,0.39,0.13,0.6195,0.282,0.1565,0.2055,between 9.0 and 11.0
F,0.64,0.505,0.17,1.3415,0.626,0.2945,0.3525,greater than 11.0
I,0.59,0.47,0.165,1.054,0.476,0.2545,0.2945,between 9.0 and 11.0
M,0.625,0.485,0.16,1.1645,0.5485,0.2635,0.2945,between 9.0 and 11.0
F,0.665,0.53,0.18,1.564,0.6995,0.346,0.4145,between 9.0 and 11.0
I,0.53,0.42,0.135,0.755,0.342,0.1795,0.2345,greater than 11.0
M,0.58,0.465,0.155,1.035,0.4785,0.247,0.2815,greater than 11.0
F,0.54,0.43,0.145,0.807,0.362,0.2025,0.2435,between 8.0 and 9.0
I,0.46,0.36,0.12,0.4795,0.2235,0.119,0.1575,between 8.0 and 9.0
M,0.66,0.52,0.18,1.4535,0.6535,0.313,0.3845,greater than 11.0
F,0.675,0.54,0.195,1.75,0.765,0.373,0.4635,greater than 11.0
I,0.49,0.39,0.125,0.576,0.2735,0.143,0.1885,between 9.0 and 11.0
M,0.565,0.44,0.15,0.964,0.443,0.2285,0.2815,greater than 11.0
F,0.61,0.485,0.165,1.144,0.53,0.2625,0.309,greater than 11.0
I,0.52,0.415,0.14,0.694,0.3225,0.1735,0.224,greater than 11.0
M,0.59,0.465,0.16,1.061,0.495,0.2555,0.294,greater than 11.0
F,0.63,0.505,0.175,1.238,0.5675,0.281,0.3235,greater than 11.0
M,0.555,0.435,0.145,0.7735,0.3285,0.189,0.235,between 9.0 and 11.0
F,0.685,0.545,0.195,1.5485,0.684,0.3885,0.435,greater than 11.0
I,0.395,0.305,0.095,0.2835,0.1235,0.065,0.088,less than 8.0
M,0.485,0.375,0.125,0.6355,0.2745,0.154,0.192,between 9.0 and 11.0
F,0.59,0.465,0.155,1.035,0.4575,0.246,0.305,between 9.0 and 11.0
I,0.565,0.445,0.145,0.903,0.4155,0.191,0.255,between 8.0 and 9.0
M,0.625,0.495,0.165,1.1455,0.5135,0.2795,0.335,greater than 11.0
F,0.55,0.42,0.135,0.7865,0.3435,0.183,0.245,greater than 11.0
I,0.435,0.335,0.105,0.3775,0.1665,0.086,0.114,between 9.0 and 11.0
M,0.575,0.45,0.145,0.943,0.4245,0.2015,0.28,between 9.0 and 11.0
F,0.515,0.395,0.125,0.686,0.286,0.157,0.219,between 9.0 and 11.0
I,0.475,0.365,0.115,0.516,0.235,0.1185,0.155,less than 8.0
M,0.65,0.51,0.175,1.323,0.599,0.314,0.375,greater than 11.0
F,0.725,0.57,0.195,1.6545,0.7575,0.4185,0.45,greater than 11.0
