age,height_cm,weight_kg,nationality_name,overall,potential,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,wage_eur,22,186,78,Germany,69,73,61,59,66,69.1,51,69.2,59.1,44,60,63,76,81,84,66.1,80,60.1,60.2,11,14,9,8,13,between 3000.0 and 8000.0
26.0,184.0,80.0,Belgium,72.0,76.0,65.0,61.0,57.0,66.0,60.0,70.0,62.0,55.0,66.0,69.0,79.0,81.0,79.0,67.0,74.0,47.0,44.0,9.0,9.0,10.0,11.0,9.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,192.0,86.0,Brazil,79.0,83.0,72.0,66.0,61.0,73.0,65.0,75.0,65.0,59.0,71.0,75.0,84.0,86.0,84.0,71.0,77.0,53.0,51.0,11.0,9.0,10.0,9.0,8.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,176.0,70.0,Colombia,61.0,65.0,51.0,49.0,48.0,53.0,48.0,60.0,49.0,45.0,56.0,59.0,69.0,70.0,69.0,57.0,65.0,36.0,28.0,7.0,7.0,8.0,8.0,8.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,181.0,75.0,Spain,68.0,72.0,59.0,56.0,53.0,59.0,54.0,66.0,55.0,51.0,61.0,63.0,75.0,77.0,75.0,60.0,71.0,41.0,39.0,8.0,8.0,9.0,10.0,8.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,189.0,82.0,France,73.0,77.0,66.0,62.0,58.0,65.0,61.0,70.0,63.0,57.0,65.0,68.0,80.0,82.0,80.0,68.0,74.0,49.0,47.0,11.0,9.0,10.0,9.0,9.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,178.0,74.0,Italy,71.0,74.0,63.0,61.0,58.0,63.0,60.0,69.0,61.0,56.0,64.0,66.0,77.0,80.0,77.0,66.0,73.0,45.0,44.0,10.0,9.0,9.0,8.0,8.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,186.0,81.0,Germany,75.0,79.0,69.0,65.0,61.0,69.0,65.0,72.0,65.0,60.0,68.0,71.0,82.0,84.0,82.0,70.0,75.0,51.0,50.0,13.0,10.0,9.0,8.0,9.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,191.0,86.0,Argentina,78.0,82.0,71.0,66.0,62.0,72.0,66.0,74.0,66.0,61.0,70.0,74.0,84.0,86.0,84.0,71.0,76.0,52.0,51.0,12.0,9.0,9.0,8.0,8.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,179.0,72.0,Portugal,63.0,67.0,53.0,52.0,51.0,55.0,50.0,61.0,52.0,49.0,58.0,61.0,71.0,72.0,71.0,58.0,67.0,37.0,31.0,9.0,8.0,8.0,8.0,7.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,187.0,83.0,Brazil,77.0,81.0,70.0,65.0,60.0,70.0,64.0,73.0,65.0,59.0,69.0,72.0,81.0,83.0,82.0,70.0,75.0,49.0,48.0,13.0,9.0,9.0,8.0,8.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,185.0,82.0,Argentina,74.0,78.0,68.0,64.0,60.0,68.0,63.0,72.0,64.0,58.0,67.0,70.0,80.0,82.0,81.0,69.0,74.0,48.0,46.0,12.0,8.0,9.0,8.0,7.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,193.0,87.0,Spain,80.0,84.0,73.0,67.0,63.0,74.0,67.0,76.0,67.0,62.0,71.0,74.0,85.0,87.0,85.0,72.0,77.0,53.0,52.0,14.0,9.0,8.0,7.0,6.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,177.0,71.0,Colombia,62.0,66.0,53.0,51.0,50.0,55.0,50.0,61.0,51.0,49.0,57.0,60.0,70.0,71.0,70.0,59.0,66.0,38.0,32.0,10.0,7.0,8.0,8.0,8.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,182.0,76.0,Italy,69.0,73.0,61.0,58.0,56.0,61.0,58.0,67.0,59.0,55.0,63.0,65.0,77.0,79.0,78.0,64.0,71.0,44.0,43.0,12.0,8.0,8.0,7.0,7.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,190.0,84.0,France,76.0,80.0,70.0,66.0,62.0,70.0,66.0,73.0,66.0,61.0,68.0,71.0,83.0,85.0,84.0,71.0,75.0,51.0,50.0,15.0,9.0,8.0,7.0,6.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,179.0,75.0,Germany,72.0,76.0,65.0,63.0,60.0,65.0,63.0,70.0,64.0,59.0,65.0,68.0,79.0,81.0,80.0,68.0,73.0,48.0,47.0,14.0,9.0,8.0,7.0,6.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,188.0,83.0,Brazil,75.0,79.0,69.0,65.0,63.0,68.0,66.0,72.0,67.0,62.0,67.0,70.0,82.0,84.0,83.0,70.0,74.0,53.0,52.0,16.0,9.0,8.0,7.0,6.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,192.0,87.0,Argentina,79.0,83.0,72.0,67.0,64.0,72.0,68.0,74.0,68.0,64.0,70.0,73.0,84.0,86.0,85.0,72.0,76.0,55.0,54.0,18.0,9.0,8.0,7.0,6.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,180.0,73.0,Portugal,64.0,68.0,55.0,53.0,52.0,57.0,53.0,63.0,54.0,52.0,60.0,62.0,73.0,74.0,73.0,61.0,68.0,40.0,39.0,13.0,8.0,8.0,7.0,6.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,187.0,84.0,Spain,77.0,81.0,71.0,66.0,63.0,70.0,67.0,73.0,67.0,63.0,69.0,72.0,81.0,83.0,82.0,71.0,75.0,51.0,51.0,19.0,9.0,8.0,7.0,5.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,186.0,83.0,Argentina,76.0,80.0,70.0,65.0,64.0,69.0,67.0,72.0,68.0,65.0,68.0,70.0,80.0,82.0,81.0,70.0,73.0,50.0,50.0,21.0,9.0,8.0,7.0,5.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,194.0,88.0,Brazil,81.0,84.0,75.0,69.0,67.0,73.0,71.0,75.0,70.0,67.0,71.0,73.0,85.0,87.0,86.0,73.0,76.0,55.0,55.0,25.0,9.0,8.0,7.0,4.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,178.0,72.0,Colombia,61.0,65.0,52.0,50.0,50.0,54.0,51.0,61.0,52.0,50.0,57.0,60.0,69.0,70.0,70.0,59.0,65.0,38.0,34.0,16.0,7.0,7.0,6.0,4.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,183.0,77.0,Italy,70.0,73.0,62.0,59.0,58.0,61.0,60.0,68.0,61.0,59.0,63.0,65.0,77.0,79.0,79.0,66.0,70.0,45.0,45.0,22.0,8.0,7.0,6.0,3.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,191.0,85.0,France,77.0,81.0,72.0,67.0,66.0,70.0,70.0,73.0,69.0,68.0,69.0,71.0,83.0,85.0,84.0,72.0,74.0,54.0,54.0,28.0,9.0,7.0,6.0,2.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,180.0,75.0,Germany,73.0,77.0,68.0,65.0,64.0,66.0,67.0,71.0,67.0,65.0,66.0,69.0,80.0,82.0,81.0,69.0,72.0,50.0,51.0,31.0,8.0,7.0,6.0,1.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,189.0,84.0,Brazil,78.0,82.0,73.0,68.0,69.0,70.0,72.0,74.0,70.0,69.0,70.0,72.0,84.0,86.0,85.0,73.0,75.0,56.0,56.0,35.0,8.0,6.0,5.0,0.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,193.0,88.0,Argentina,80.0,84.0,75.0,70.0,72.0,72.0,75.0,75.0,72.0,72.0,71.0,73.0,85.0,87.0,86.0,74.0,76.0,57.0,58.0,39.0,7.0,6.0,5.0,0.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,181.0,74.0,Portugal,65.0,69.0,57.0,55.0,56.0,58.0,57.0,64.0,58.0,58.0,61.0,62.0,74.0,75.0,75.0,63.0,68.0,42.0,43.0,29.0,7.0,6.0,4.0,0.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,188.0,85.0,Spain,79.0,83.0,74.0,70.0,73.0,71.0,74.0,73.0,72.0,73.0,70.0,72.0,82.0,84.0,84.0,74.0,75.0,53.0,55.0,37.0,6.0,5.0,4.0,0.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,187.0,84.0,Argentina,78.0,82.0,75.0,71.0,75.0,72.0,76.0,74.0,74.0,75.0,71.0,72.0,81.0,83.0,83.0,75.0,74.0,55.0,57.0,41.0,5.0,4.0,3.0,0.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,195.0,89.0,Brazil,82.0,85.0,78.0,74.0,78.0,74.0,80.0,75.0,76.0,78.0,72.0,73.0,85.0,87.0,86.0,78.0,75.0,59.0,60.0,43.0,4.0,3.0,2.0,0.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,179.0,73.0,Colombia,63.0,67.0,56.0,54.0,58.0,57.0,59.0,63.0,59.0,60.0,59.0,61.0,70.0,71.0,72.0,62.0,67.0,41.0,44.0,34.0,3.0,2.0,1.0,0.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,184.0,80.0,Italy,71.0,74.0,65.0,62.0,68.0,63.0,66.0,69.0,65.0,68.0,62.0,64.0,77.0,79.0,80.0,67.0,69.0,48.0,51.0,30.0,2.0,1.0,0.0,0.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,192.0,86.0,France,79.0,83.0,76.0,72.0,79.0,71.0,77.0,73.0,75.0,77.0,70.0,71.0,83.0,85.0,85.0,73.0,73.0,54.0,58.0,32.0,1.0,0.0,0.0,0.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,181.0,75.0,Germany,74.0,78.0,73.0,70.0,77.0,68.0,76.0,71.0,73.0,76.0,67.0,69.0,79.0,81.0,82.0,71.0,70.0,53.0,60.0,28.0,0.0,0.0,0.0,0.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,190.0,85.0,Brazil,78.0,82.0,78.0,75.0,82.0,72.0,80.0,73.0,78.0,80.0,71.0,72.0,82.0,84.0,84.0,75.0,71.0,60.0,62.0,33.0,0.0,0.0,0.0,0.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,194.0,89.0,Argentina,82.0,85.0,81.0,79.0,85.0,74.0,84.0,74.0,84.0,84.0,73.0,74.0,84.0,86.0,86.0,79.0,72.0,62.0,65.0,35.0,0.0,0.0,0.0,0.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,182.0,76.0,Portugal,67.0,71.0,62.0,60.0,73.0,61.0,65.0,67.0,66.0,70.0,62.0,63.0,75.0,76.0,78.0,65.0,67.0,46.0,54.0,25.0,0.0,0.0,0.0,0.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,189.0,86.0,Spain,80.0,84.0,80.0,77.0,88.0,73.0,82.0,74.0,86.0,86.0,72.0,73.0,82.0,84.0,85.0,77.0,72.0,59.0,66.0,30.0,0.0,0.0,0.0,0.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,188.0,85.0,Argentina,79.0,83.0,80.0,78.0,89.0,72.0,84.0,74.0,88.0,88.0,71.0,72.0,81.0,83.0,84.0,78.0,71.0,61.0,67.0,32.0,0.0,0.0,0.0,0.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,196.0,90.0,Brazil,84.0,86.0,84.0,82.0,92.0,75.0,88.0,75.0,92.0,92.0,73.0,74.0,84.0,86.0,87.0,82.0,73.0,64.0,71.0,35.0,0.0,0.0,0.0,0.0,between 3000.0 and 8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,180.0,74.0,Colombia,65.0,69.0,61.0,59.0,77.0,62.0,67.0,68.0,70.0,74.0,61.0,62.0,71.0,72.0,74.0,66.0,67.0,45.0,55.0,28.0,0.0,0.0,0.0,0.0,between 1000.0 and 3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,181.0,75.0,Spain,74.0,79.0,67.0,68.0,69.0,72.0,63.0,72.0,66.0,56.0,69.0,74.0,73.0,78.0,73.0,69.0,69.0,70.0,70.0,9.0,12.0,14.0,10.0,12.0,greater than 8000.0
