Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,G,RS
DET,NL,1970.1246,791.54803,49.46241,0.30239993,0.34077528,0.23621458,-0.00022902238,162.00148,less than 652.0
OAK,AL,1968.8215,845.37744,48.4492,0.30336824,0.37403584,0.24604614,0.00081016205,161.99805,less than 652.0
SDP,NL,1999.4039,859.5924,65.12371,0.33277145,0.39928102,0.2697829,0.00080685323,161.00473,between 711.0 and 775.0
KCA,NL,1990.3821,607.5384,99.0666,0.32746392,0.40585807,0.26481685,1.1778996,162.01184,between 652.0 and 711.0
LAD,NL,1998.5995,837.3572,71.10428,0.31557095,0.43300143,0.2704907,-0.00017387918,162.00645,between 652.0 and 711.0
CHC,NL,1998.7347,760.74133,86.15452,0.34694356,0.43474314,0.2801895,1.0478226,162.00354,greater than 775.0
TEX,AL,2006.2252,845.12006,62.06697,0.31805795,0.365155,0.24581714,-8.215767e-05,162.00482,between 652.0 and 711.0
STL,NL,1969.1755,775.0367,63.03408,0.30443785,0.3624482,0.24938384,0.00029705482,162.0048,between 652.0 and 711.0
SDP,NL,1983.7067,820.19055,74.95881,0.34499818,0.4003272,0.26920986,-0.00059453864,162.00005,greater than 775.0
BAL,AL,2006.4238,743.5042,79.24347,0.32882428,0.39879727,0.27282447,-0.00022638921,161.99983,between 711.0 and 775.0
TOR,NL,1976.0349,616.1735,99.90928,0.3419045,0.4006494,0.26000205,-0.00056545495,162.0007,between 711.0 and 775.0
BOS,NL,1981.1296,694.99426,86.96628,0.34297726,0.4175188,0.2726868,0.0009881288,161.99887,greater than 775.0
CHW,NL,2009.8746,664.6668,78.78832,0.31628504,0.38155407,0.2562863,-0.00035616304,161.99826,between 711.0 and 775.0
TEX,NL,1981.5298,766.0256,77.83822,0.32332355,0.42099428,0.26239437,0.00024221517,160.99036,between 711.0 and 775.0
CHC,AL,1966.9138,490.6893,69.26521,0.29873735,0.3198084,0.23289244,-0.0006042497,162.00601,less than 652.0
BAL,NL,2011.5371,883.21246,66.309166,0.32547766,0.42111966,0.26640907,0.0002284834,162.01027,between 652.0 and 711.0
SDP,NL,1964.4442,527.53296,83.55793,0.32795656,0.34590176,0.24709648,0.002261314,162.00226,less than 652.0
WSA,NL,1980.0007,591.5777,71.22853,0.2997979,0.32531175,0.24463989,-0.0005891165,162.00084,less than 652.0
ATL,NL,1995.4729,854.77826,65.834595,0.3243352,0.42747846,0.26538363,-0.00026978014,162.00798,between 711.0 and 775.0
CIN,AL,1992.4656,512.547,101.69858,0.33244503,0.39877453,0.26481467,0.9572682,161.99861,between 711.0 and 775.0
