Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
ARI,NL,2007,765,90,0.329,0.413,0.256,0,,,162,0.326,0.404,between 711.0 and 775.0
BOS,AL,2001,755,82,0.324,0.405,0.258,0,,,162,,,between 711.0 and 775.0
NYM,NL,1993,699,59,0.294,0.349,0.235,0,,,162,,,less than 652.0
OAK,AL,2008,690,75,0.313,0.383,0.249,0,,,162,,,between 652.0 and 711.0
CLE,AL,1998,734,89,0.328,0.414,0.262,0,,,162,,,between 711.0 and 775.0
NYY,AL,2005,768,95,0.34,0.436,0.275,1,2.0,2.0,162,0.329,0.422,greater than 775.0
MIL,NL,2009,782,80,0.327,0.413,0.253,0,,,162,0.324,0.415,between 711.0 and 775.0
STL,NL,1992,693,83,0.319,0.386,0.255,0,,,162,,,between 652.0 and 711.0
TEX,AL,1983,726,77,0.307,0.369,0.244,0,,,162,,,between 652.0 and 711.0
LAA,AL,2011,678,86,0.323,0.404,0.256,0,,,162,0.316,0.398,between 652.0 and 711.0
CHW,AL,1974,666,80,0.305,0.362,0.241,0,,,162,,,less than 652.0
PIT,NL,2006,741,67,0.299,0.364,0.238,0,,,162,,,less than 652.0
ATL,NL,1987,684,69,0.302,0.357,0.243,0,,,162,,,less than 652.0
SFG,NL,2000,756,97,0.336,0.429,0.269,1,2.0,4.0,162,0.329,0.424,greater than 775.0
HOU,NL,1995,729,76,0.313,0.384,0.251,0,,,162,,,between 652.0 and 711.0
LAD,NL,1989,646,77,0.303,0.361,0.241,0,,,162,,,less than 652.0
SEA,AL,2005,735,69,0.298,0.358,0.236,0,,,162,,,less than 652.0
MIN,AL,1972,699,77,0.309,0.366,0.249,0,,,162,,,between 652.0 and 711.0
DET,AL,1991,743,83,0.317,0.391,0.253,0,,,162,,,between 652.0 and 711.0
TOR,AL,1988,697,69,0.295,0.351,0.238,0,,,162,,,less than 652.0
ATL,NL,2002,744,101,0.342,0.446,0.282,1,2.0,3.0,162,0.335,0.431,greater than 775.0
CHC,NL,1986,684,77,0.306,0.365,0.244,0,,,162,,,between 652.0 and 711.0
BAL,AL,1978,699,90,0.324,0.406,0.261,0,,,162,,,between 711.0 and 775.0
ARI,NL,2003,761,84,0.329,0.415,0.256,0,,,162,0.327,0.414,between 711.0 and 775.0
BOS,AL,2007,735,96,0.338,0.434,0.273,1,2.0,2.0,162,0.332,0.425,greater than 775.0
NYM,NL,1999,751,97,0.335,0.429,0.267,1,2.0,4.0,162,0.329,0.423,greater than 775.0
OAK,AL,2009,690,75,0.314,0.383,0.251,0,,,162,,,between 652.0 and 711.0
CLE,AL,1999,734,97,0.339,0.442,0.281,1,3.0,2.0,162,0.334,0.429,greater than 775.0
NYY,AL,2006,768,97,0.345,0.451,0.284,1,1.0,3.0,162,0.333,0.426,greater than 775.0
MIL,NL,2010,782,77,0.325,0.412,0.252,0,,,162,0.323,0.414,between 711.0 and 775.0
STL,NL,1993,693,83,0.319,0.386,0.255,0,,,162,,,between 652.0 and 711.0
TEX,AL,1984,726,69,0.297,0.355,0.235,0,,,162,,,less than 652.0
