Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
DET,AL,2004,702,95,0.332,0.453,0.279,1,3.0,2.0,162,0.324,0.414,greater than 775.0
KCR,AL,1979,739,90,0.34,0.433,0.291,0,,,162,,,greater than 775.0
ARI,NL,2001,924,51,0.313,0.403,0.258,0,,,162,0.348,0.447,less than 652.0
BAL,AL,2003,923,70,0.339,0.429,0.282,0,,,162,0.354,0.469,between 711.0 and 775.0
BOS,AL,2009,835,69,0.319,0.421,0.265,0,,,162,0.329,0.433,between 711.0 and 775.0
NYM,NL,1962,809,51,0.295,0.325,0.225,0,,,162,,,less than 652.0
ATL,NL,2002,696,90,0.335,0.44,0.271,1,4.0,4.0,162,0.333,0.414,between 711.0 and 775.0
TEX,AL,1995,854,77,0.336,0.444,0.281,0,,,162,,,greater than 775.0
CIN,NL,1985,745,86,0.328,0.394,0.259,0,,,162,,,between 711.0 and 775.0
CHW,AL,1978,769,73,0.333,0.418,0.281,0,,,160,,,between 711.0 and 775.0
BAL,AL,1976,601,102,0.338,0.424,0.265,1,1.0,2.0,159,,,between 711.0 and 775.0
KCR,AL,1974,635,90,0.329,0.378,0.274,1,4.0,3.0,162,,,between 711.0 and 775.0
STL,NL,1964,694,80,0.317,0.377,0.259,0,,,162,,,between 652.0 and 711.0
