x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,energy10,energy11,energy12,energy13,energy14,energy15,energy16,energy_total,512.2351,417.5319,94.5311,498.2356,489.6541,37.5836,291.2083,341.9672,0.0,555.3695,430.802,27.2277,322.531,205.2096,40.739,132.1475,10.6754,423.8234,90.3747,351.4701,33.2651,63.678,356.7663,92.7,553.1572,149.1223,38.3382,272.7373,312.2364,422.6691,464.6098,462.8044,243250.0859,265693.0457,209295.9993,268266.4415,236712.7999,203019.8858,260261.1539,229716.2707,266215.6722,260196.54,227732.0102,215200.875,228920.1279,273408.0288,261848.6548,272850.0305,between 3755820.3235 and 3830819.051
197.531,398.581,333.811,214.501,281.861,216.511,394.091,304.791,256.801,281.891,230.401,207.531,345.701,273.391,253.151,298.591,265.171,315.851,278.221,187.891,322.661,258.521,199.361,349.801,321.181,193.731,290.171,262.461,275.361,289.981,288.591,265.791,210191.191,268191.191,227191.191,258191.191,259191.191,246191.191,213191.191,248191.191,244191.191,250191.191,231191.191,240191.191,224191.191,220191.191,245191.191,216191.191,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.821,300.761,263.091,308.851,293.241,208.881,394.991,322.121,297.151,203.181,264.331,210.651,324.921,282.751,292.341,278.751,202.451,266.071,351.441,298.951,269.501,242.971,249.181,354.391,247.441,242.721,290.491,285.191,213.891,357.271,203.931,295.201,206191.191,253191.191,242191.191,262191.191,230191.191,220191.191,225191.191,253191.191,259191.191,248191.191,211191.191,241191.191,246191.191,233191.191,228191.191,232191.191,between 3685857.466 and 3755820.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160.201,455.371,255.551,347.301,272.531,305.371,258.531,206.901,250.881,282.181,276.631,280.161,292.211,198.721,194.201,287.191,231.651,281.541,301.201,241.491,264.381,218.831,232.731,198.171,271.881,294.621,208.511,258.381,232.421,272.791,232.471,201.901,273191.191,213191.191,234191.191,259191.191,258191.191,249191.191,215191.191,252191.191,213191.191,258191.191,246191.191,240191.191,241191.191,219191.191,251191.191,224191.191,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381.391,297.431,202.521,300.921,223.051,241.241,365.171,266.991,287.751,306.981,291.461,218.661,298.671,224.171,276.121,275.151,246.351,332.511,332.171,205.499,304.261,254.971,226.341,243.141,208.631,287.131,243.761,261.551,240.539,296.699,230.141,263.149,225191.191,257191.191,235191.191,219191.191,252191.191,241191.191,251191.191,256191.191,247191.191,222191.191,263191.191,253191.191,243191.191,242191.191,219191.191,211191.191,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508.631,395.961,261.181,306.351,341.191,221.701,254.491,211.951,284.291,348.441,354.781,281.341,259.271,192.071,221.521,256.521,316.971,217.509,230.081,266.061,260.341,335.621,304.781,333.441,247.331,262.801,193.831,305.331,245.461,205.531,240.101,240.421,249191.191,255191.191,260191.191,254191.191,247191.191,261191.191,272191.191,278191.191,239191.191,264191.191,270191.191,248191.191,243191.191,231191.191,245191.191,between 3685857.466 and 3755820.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272.241,283.191,305.941,304.011,360.151,234.951,280.081,265.491,215.731,182.891,210.991,220.621,200.151,203.211,258.541,291.691,280.161,198.751,233.631,203.341,245.931,186.331,252.901,330.451,311.691,187.021,235.491,299.291,245.601,240.691,200.801,245.991,256191.191,255191.191,238191.191,249191.191,236191.191,243191.191,260191.191,213191.191,251191.191,268191.191,246191.191,247191.191,230191.191,240191.191,216191.191,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435.761,313.841,246.191,240.831,283.061,245.471,241.191,318.531,200.231,255.401,349.501,218.891,302.581,287.611,211.811,229.661,263.841,245.251,290.311,208.661,316.111,296.381,201.091,262.521,195.731,189.341,266.711,245.351,287.901,225.771,200.341,233.871,246191.191,242191.191,250191.191,239191.191,225191.191,245191.191,248191.191,200191.191,244191.191,223191.191,271191.191,268191.191,261191.191,251191.191,236191.191,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394.351,305.641,293.901,252.311,199.711,220.281,301.201,276.191,242.561,250.441,294.911,233.711,302.341,276.911,246.121,301.661,256.829,225.301,189.651,264.941,335.191,264.441,255.401,280.901,219.401,249.311,289.701,282.881,276.631,330.881,234.341,270.081,213191.191,245191.191,238191.191,255191.191,250191.191,222191.191,236191.191,240191.191,243191.191,255191.191,210191.191,259191.191,210191.191,248191.191,227191.191,252191.191,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566.0,107.3877,444.0594,71.899,428.6843,36.4745,245.6249,494.8512,140.1917,446.7012,234.8164,484.3598,356.287,546.0298,213.4416,104.2252,198.2631,316.3891,252.3985,96.4419,476.7893,154.3242,340.3377,201.8687,232.3906,487.2635,18.4484,450.9113,188.397,504.9282,376.6756,225.0863,268421.011,246514.2613,240942.671,205495.3835,263395.7616,234509.1934,274811.7991,189634.7342,201559.171,250129.5101,210131.1826,243201.1106,223911.4443,269985.6606,266191.819,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.6704,566.0,394.7374,186.8163,199.2257,543.2115,184.9138,266.8248,317.6716,335.4502,445.1167,382.1232,231.4192,85.1073,317.9554,566.0,378.9827,252.2413,387.2468,155.4253,288.1429,502.4262,117.6348,381.7423,83.8594,439.2757,136.7295,95.5046,224.3437,43.2733,333.455,273.6215,230984.6714,246132.8767,268135.7344,240678.3023,205941.4456,277219.4452,198427.1437,250956.3422,242103.3456,253045.7811,245154.6315,258746.1919,203395.2342,210816.3981,194939.4933,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6554,198.2998,91.8462,219.2536,194.4272,427.4929,410.9727,309.3499,259.9871,175.8314,450.6414,341.459,87.4449,270.8518,503.4191,380.2532,189.6274,94.1429,299.7398,240.3943,342.4459,444.2495,508.9414,245.1419,104.7377,446.2114,78.3641,225.3734,91.2496,91.7675,184.2169,279.9878,246017.6706,257655.8325,236692.6215,252634.6511,266193.6892,200934.5941,243181.9827,269421.438,201879.3971,265824.9419,268194.1422,256061.1421,204135.2993,272384.8242,223103.1957,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305.5593,444.3876,523.684,141.8259,102.5556,14.1245,480.1953,0.0,241.6864,341.3321,74.6378,93.4518,187.7997,325.9646,246.3648,197.8453,341.9111,446.5936,375.4061,104.4293,283.6282,198.6435,220.5652,91.9827,380.3428,566.0,91.585,210.9825,104.6611,38.4279,81.4595,446.2534,224145.2132,249859.3645,239156.8134,233494.4448,224144.273,206153.6419,260334.2704,272176.4227,247139.8222,228396.4495,194326.3991,229594.8222,268139.1955,266176.4273,202037.8298,221799.1854,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.901,187.9821,245.8162,315.4893,186.2996,381.841,412.8514,300.4612,199.4464,85.6849,82.9561,384.7916,129.5316,193.2246,91.4352,281.4428,178.8471,235.9817,270.4496,340.7787,335.6153,444.8495,97.1153,188.7294,94.354,377.7954,23.2727,187.5118,236.4768,190.6295,228.2412,253.3422,240412.3902,265699.1494,260485.2356,220411.4422,239551.2883,199531.7554,229654.2193,195621.335,224941.8233,249349.2724,268199.8495,266282.7365,251398.4294,270115.3696,221409.1119,241734.8194,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.2071,566.0,177.8431,240.4939,425.8478,115.2943,411.8775,190.3961,332.2114,335.1914,411.2136,196.9558,242.9826,174.4913,98.3446,333.461,189.3353,498.3512,242.5919,199.1436,335.8197,228.406,282.8132,81.5336,366.7646,263.6865,99.3211,271.4758,187.4149,259.7764,197.829,250.3132,258157.2633,264622.8415,198342.9878,230679.7957,244661.3883,208421.9146,259348.9397,193914.9641,237981.6798,247619.3881,240157.8996,256197.6857,202495.6255,240753.1454,242692.3399,270955.4899,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378.3526,199.3414,288.7968,394.4252,22.6449,299.7956,104.9566,417.5516,292.7952,123.3464,444.7618,157.4112,129.2756,345.3737,245.9682,446.4295,246.3754,272.5494,270.8452,101.8473,219.2353,251.3885,355.6115,366.5435,214.9551,349.4326,190.1343,256.3921,335.7362,250.5636,99.5176,273.6976,267219.3425,271986.5652,226451.3832,254111.3422,211766.4298,235824.7366,205388.9118,202409.879,270509.734,240962.4798,271217.8994,261445.6514,248411.8211,245875.4444,256156.7742,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191.2994,210.5692,266.6851,135.3563,382.2092,53.0219,99.9629,82.6451,333.8293,375.8616,377.5494,324.6544,56.9663,300.4256,195.6997,219.3449,266.2732,333.455,186.3555,325.5861,444.4282,56.3911,288.8212,187.2617,297.7395,232.492,241.3943,355.6113,232.492,219.4458,272.192,296.2895,255941.1948,257555.1719,201445.4998,203824.3806,261157.4446,250259.133,194111.9697,212342.5888,233179.9822,250631.4926,198615.9821,275391.492,240959.3556,224799.384,232456.3421,210791.4119,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.2918,266.4574,444.3857,135.4901,425.2591,335.1439,444.3857,377.5517,187.5516,342.9837,246.7841,106.3693,250.3949,288.0213,299.3556,297.6551,250.6861,205.3948,271.939,244.584,244.3694,102.3662,271.6866,153.1941,375.9318,231.1934,245.2693,185.4569,239.4397,181.5311,354.7394,196.5233,199765.4498,242349.3817,209943.3516,225655.4519,232395.8995,205549.3116,203939.542,183263.9845,250962.5116,263334.4115,251819.2134,234519.4359,260134.699,233459.7711,272299.4221,245153.669,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.1357,190.9349,220.7926,136.5962,186.3648,23.4543,175.4304,0.0,189.3721,240.4392,317.9558,129.3482,187.3727,278.9117,185.6049,103.4851,266.955,185.6549,240.3951,262.6546,185.2346,204.1951,275.9358,234.5644,297.1718,186.3916,173.2515,295.4576,144.5964,276.7376,106.6242,180.451,259384.1846,259831.555,216185.4397,233155.7844,201205.4209,269956.412,211832.4934,192304.6991,194940.934,270421.6197,246178.1814,195959.491,258158.4421,246773.213,232396.2455,266157.1452,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.1238,325.4679,107.3353,191.4191,55.1537,243.8595,201.492,246.1938,0.0,122.475,83.195,217.4196,108.449,245.475,444.7554,217.3551,315.2345,189.4687,216.4975,197.5491,88.662,315.4197,97.1414,82.9822,199.4853,210.2531,180.6324,0.0,199.3828,272.5315,184.6465,253.4195,273143.9938,220551.1344,250157.413,235941.4923,230924.8243,248521.1943,277195.6896,244354.792,255911.6701,205259.6713,211442.8162,212926.5914,204304.5113,232799.6546,191349.7916,256428.3982,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325.5934,186.4936,395.9111,185.3041,121.6858,87.7769,179.4546,0.0,93.9873,210.648,166.2497,291.4617,137.6512,81.4917,341.4413,204.5555,246.9559,290.9821,179.4458,340.3726,114.2999,251.2829,172.8235,170.6991,233.3852,260.6846,99.2354,296.4913,167.4442,197.4948,167.2616,192.2614,195509.2538,243559.2614,208493.3987,268219.7811,264428.742,195865.5846,247455.6719,270159.4595,228596.395,258555.3118,195324.4918,240695.5651,203729.5939,247151.2192,220961.8242,233144.3957,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485.6689,181.9816,0.0,265.7375,111.4191,81.3697,99.7372,210.9145,149.7845,292.3392,83.3496,103.2613,242.1998,0.0,340.3393,197.6116,317.955,180.2697,205.6468,94.3242,364.9562,262.4568,81.2993,444.8475,179.3748,297.1611,261.6486,272.9117,317.1123,186.2553,155.7898,141.4745,208517.4317,204134.755,211945.6582,240684.855,197234.8142,251921.492,213162.396,203461.6997,242134.6157,219455.5519,237141.9557,247755.8236,194551.2115,196273.3243,204791.9934,244796.1952,between 3755820.3235 and 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.9594,104.4454,314.4296,170.2827,99.4525,566.0,377.5093,266.3649,134.429,220.5946,341.4565,228.3957,253.6614,252.4758,333.5511,244.6854,298.9828,244.4366,377.5212,191.9456,280.6545,199.2396,186.3857,219.3947,166.4294,288.9561,187.3856,253.6614,316.3928,287.4832,324.6578,151.9456,265707.581,215349.4356,198729.7556,233409.1713,250479.5939,207391.4299,257599.475,192385.981,205725.6413,242735.9355,201955.3341,193351.2935,245895.1426,225114.479,209855.435,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.4935,241.4493,56.4856,106.2346,380.9711,35.6546,566.0,103.4565,377.6273,210.9458,121.1222,186.3417,189.1456,137.6711,280.6545,200.1712,166.2992,266.6771,99.4443,137.3863,240.9373,114.3497,189.3727,99.3906,299.2821,299.3945,56.4116,266.8457,164.2943,316.3645,212.3827,262.1779,216723.7349,260351.494,205115.8496,235489.1712,205942.1234,245813.9391,200679.1943,242915.4596,232135.3625,245531.4196,196199.6159,230555.2998,262855.2614,194111.4394,207955.2319,243369.6156,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270.4225,566.0,85.6418,155.261,166.6113,56.9303,245.3481,95.6703,0.0,171.2515,0.0,176.3316,299.1439,187.3919,377.4083,444.2994,234.5155,333.455,208.3353,444.2495,333.1132,245.3259,333.235,97.1935,272.9827,99.1515,131.1428,271.9379,300.3915,235.7925,141.4636,220.2166,221855.1426,186225.6846,240659.9822,203662.4935,220155.8596,248219.5657,185431.3982,233235.4292,196761.3817,265421.4396,267849.2394,187651.3692,228157.8148,203739.6347,196695.4297,243491.4495,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194.1145,103.4548,176.314,429.2696,566.0,334.9851,104.9566,95.1677,395.4845,245.9825,85.627,157.3545,95.2612,101.8372,196.6544,188.3693,94.651,191.4928,335.4928,146.3964,103.4565,0.0,183.0131,245.7611,185.4344,107.2612,232.313,137.2355,198.6512,240.3416,171.2732,254.1966,250479.1149,259348.2045,210865.455,246411.5645,181695.4999,203149.5496,255911.6701,274149.184,235991.4392,205751.434,195739.181,208905.2395,181523.134,240395.1853,232891.479,236813.455,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2272,297.3942,232.1266,122.8161,154.9821,202.6224,204.3251,301.2788,216.819,243.4913,171.4116,270.431,109.4844,82.1659,231.4393,284.6692,102.1795,334.9934,93.4581,264.3624,335.3434,187.6696,282.1914,179.3487,292.6285,230.4138,96.1992,243.9932,93.9112,210.2165,103.4499,179.3424,247341.8249,267161.484,234185.635,190679.435,251799.4693,261381.3994,234909.3498,233479.429,249431.3998,254669.459,198369.759,217971.779,186325.5295,233115.4296,214591.5994,249185.1783,less than 3685857.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.2158,301.4296,485.6117,103.9119,280.5291,85.2135,222.9834,102.4191,179.9114,395.3498,189.253,395.1697,219.3515,189.9822,378.3957,239.9815,193.1981,377.4835,153.1919,388.0714,324.6995,95.6655,333.3494,207.3451,250.551,271.1955,93.4595,187.3219,189.429,377.3519,204.1951,199.2345,269432.5099,220734.5506,240219.1155,245735.2306,255231.175,266177.6248,239899.7258,248255.8995,214179.3542,240759.4398,195431.6548,196355.8596,199449.4091,199819.8245,233335.824,greater than 3830819.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.0,425.3781,177.1175,506.7228,497.3264,0.0,209.7766,228.9886,34.0852,462.9107,310.1704,0.0,330.3746,103.5602,0.0,122.2969,0.0,475.4232,175.5158,422.9753,37.2796,24.6245,290.827,93.9462,566.0,222.3406,10.345,330.5058,179.9037,369.1844,421.8241,534.135,267386.8797,266787.295,221959.1711,269059.69,260558.4787,200244.6905,255285.4547,213158.391,269960.6615,241612.3851,220457.5922,200059.7113,235066.0185,244967.4988,225615.2557,268811.9022,greater than 3830819.051
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9663,524.017,47.1503,224.6906,399.3842,246.6713,192.8431,440.942,371.7126,307.7277,0.0,403.1333,415.9507,202.4738,428.4024,566.0,356.5654,88.2673,403.9527,492.2111,440.4774,346.8103,280.049,301.7237,361.5186,239.9313,235.8877,86.9743,226.7684,436.3175,0.0,147.1924,237677.8684,229036.3278,264439.434,267310.4351,265620.9263,244227.5937,199065.8879,262229.721,229530.9503,211456.0881,201752.1977,220898.3409,220827.2991,225102.4249,196994.565,267458.1637,between 3685857.466 and 3755820.3235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.3778,480.9489,94.1317,510.1856,552.4539,565.6854,131.5669,16.2237,32.342,550.9508,203.8231,64.3145,387.9068,434.1969,512.4253,565.6854,24.215,432.826,143.6531,86.9389,137.9052,186.9287,55.7217,432.0088,4.4343,562.1051,432.5085,533.8426,3.4299,480.4685,493.8354,502.948,176850.7451,186033.7713,230266.6932,186683.7491,204489.166,247682.7066,212271.9743,237283.2034,195815.82,265213.5922,269848.647,265157.2545,198552.3378,244898.4797,208511.7061,235760.4275,less than 3685857.466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2158,0.0,566.0,319.9252,28.229,169.4987,415.9282,160.5231,213.1418,197.5779,282.7916,192.0826,319.8165,466.0863,216.539,150.8448,520.7486,464.0096,61.186,320.3886,356.9317,311.5703,272.2058,3.6625,11.8595,364.0189,58.1466,566.0,240.1929,67.224,280.69,224.9704,260262.5207,230867.4266,268919.7091,267922.1722,219941.1519,223165.7251,269128.5119,171504.7603,184460.9556,258155.3564,214107.2206,265443.4299,225298.443,268386.1448,235778.2385,174615.6449,between 3685857.466 and 3755820.3235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.2129,349.2969,444.0314,153.5581,331.1598,142.5486,546.1048,300.7561,227.6354,57.4097,204.9933,558.1807,20.7186,73.5443,57.6109,484.8034,155.7332,356.3503,108.1356,32.2501,187.4305,107.9279,72.5677,64.6122,482.0672,390.01,218.4564,0.0,477.8244,536.8231,309.6202,274.3938,203235.938,267908.9844,246341.4707,168101.5695,236560.6959,189811.1144,265207.7519,215372.0326,265709.5162,228881.8605,244423.9766,236779.6171,232939.0326,266370.9131,206873.206,268197.5639,between 3685857.466 and 3755820.3235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.0,452.8046,192.8632,506.7994,566.0,142.0073,303.9847,363.5298,0.0,566.0,420.0944,0.0,328.6541,229.6439,55.1968,175.9935,42.5656,335.3692,170.3205,396.5227,102.6506,118.1657,396.4673,68.5922,535.8821,202.0978,181.8461,282.3566,316.366,457.5931,422.8964,509.662,211440.8303,230970.6054,208925.4474,265482.3842,235527.2773,183798.523,271727.4011,198942.146,268187.3834,263026.6837,231267.0352,211845.5852,247432.8677,267678.0084,249304.5803,268228.4086,between 3755820.3235 and 3830819.051
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7135,406.2781,254.8673,462.6653,506.0199,126.792,315.1472,3.7026,543.8907,186.427,333.6003,200.9984,74.2338,112.6932,248.0334,94.4709,240.5528,535.0893,224.7865,479.1309,316.1987,277.1181,90.8473,110.514,465.2168,0.0,447.2327,241.0137,472.5235,438.1097,487.0113,537.543,201944.0605,266357.1549,210215.7791,272506.8191,233662.0784,212627.1526,213227.1726,171632.3697,267516.9099,176131.6572,238859.0604,214814.6166,231488.1985,240883.3071,267975.3124,267064.7979,between 3685857.466 and 3755820.3235
